,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Large-scale disaster risk,United States,MC,2006,PC,probability,3,NA,NA,NA,NA,NA,p. 374,Category 5 hurricane landfall probability increases from 7% to 21% (based on Emanuel (2006) model)
1,Direct Losses,United States,Present Climate,2023,Synthetic Hurricanes,Million U.S. $ per landfall,-1578,NA,NA,NA,NA,NA,Page 377,Mean direct losses due to a set of synthetic hurricanes
2,Direct Losses,United States,Present Climate,2023,Synthetic Hurricanes,Million U.S. $ per track,-980,NA,NA,NA,NA,NA,Page 377,Mean direct losses due to a set of synthetic hurricanes
3,Loss reduction,United States,Post-Andrew Code,2002,Pre-Andrew Code,USD billion,10.4,NA,NA,NA,NA,NA,Page 379,Combined loss reduction to residences and commercial property.
4,Regional economic production,United States,Katrina Landfall,2005,Pre-storm situation,percent,-8,NA,NA,NA,NA,NA,Page 383,Instantaneous production *reduction* of 8 percent after the shock. ARIO model application to Hurricane Katrina landfall in Louisiana. Katrina made landfall in August 2005.
5,Output Variation,United States,Hurricane Katrina,2005,Pre-Katrina Output,%,-2.8,NA,NA,NA,NA,NA,Page 384,"Louisiana, last four months of 2005, production loss underestimates the observed growth loss of close to 4.5% due to model limitations."
6,Production Loss,United States,Hurricane Katrina,2005,Pre-Katrina output,Billion USD,-28,NA,NA,NA,NA,NA,p. 385,Sum of production losses (positive and negative) over the entire reconstruction period.
7,Housing Service Production,United States,Hurricane Katrina,2005,Pre-Katrina output,Billion USD,-19,NA,NA,NA,NA,NA,p. 385,Decrease in housing services because of damaged houses and buildings.
8,Total Production Loss,United States,Hurricane Katrina,2005,Pre-Katrina output,Billion USD,-47,NA,NA,NA,NA,NA,p. 385,Sector production plus housing services.
9,Total Losses,United States,Hurricane Katrina,2005,Direct Losses,Billion USD,-154,NA,NA,NA,NA,NA,p. 385,Total production loss plus the part of production that has to be dedicated to reconstruction instead of normal consumption.
10,Economic Amplification Ratio,United States,Hurricane Katrina,2005,Direct Losses,Ratio,1.44,NA,NA,NA,NA,NA,p. 385,Ratio of total losses to direct losses.
11,Indirect Losses,United States,Katrina Structure,2005,No CC,US$b,-44,NA,NA,NA,NA,NA,Page 379,EAR of 1.44 for $100b direct losses. Indirect losses are total losses minus direct losses. The value is negative as it is the *additional* loss caused by the disaster.
12,Economic Amplification Ratio,United States,Katrina Structure,2005,No CC,ratio,1.44,NA,NA,NA,NA,NA,Page 379,For a disaster with $100 billion direct losses.
13,Economic Amplification Ratio,United States,Katrina Structure,2005,No CC,ratio,2.00,NA,NA,NA,NA,NA,Page 379,"For a disaster with $200 billion direct losses, total losses are twice as large as direct costs."
14,Economic,United States,Modified climate,2009,Present climate,million US$ per landfall,2272,NA,NA,NA,NA,NA,page 387,Total losses in modified climate scenario compared to present climate scenario. The year 2009 is used since the study was published in 2009.
15,Economic,United States,Modified climate,2009,Present climate,million US$ per track,1448,NA,NA,NA,NA,NA,page 387,Total losses in modified climate scenario compared to present climate scenario. The year 2009 is used since the study was published in 2009.
16,Economic,United States,Modified climate,2009,No CC,percent,59,NA,NA,NA,NA,NA,page 387,A 10-percent increase in potential intensity translates into a 59 percent increase in total economic losses. The year 2009 is used since the study was published in 2009.
17,Economic,United States,Modified climate,2009,No CC,billion US$,50,NA,NA,NA,NA,NA,page 387,Likelihood of a hurricane causing more than $50 billion in damages doubles with a 10-percent increase in potential intensity. The year 2009 is used since the study was published in 2009.
18,Reconstruction costs,United States,2004,2004,Pre-hurricane season,Percent,-40,NA,NA,NA,NA,NA,Page 381,Reconstruction costs increased up to 40 percent in some regions of Florida after the 2004 hurricane season due to shortages of roofers.
