,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP,Africa,NA,2021,No Undernutrition,%,-2,NA,NA,NA,NA,NA,79,Lower bound of the range presented in the document. Year is based on the publication date of the referenced WFP report.
1,GDP,Africa,NA,2021,No Undernutrition,%,-17,NA,NA,NA,NA,NA,79,Upper bound of the range presented in the document. Year is based on the publication date of the referenced WFP report.
2,GDP per capita,Conflict-affected countries,Civil War,1999,NA,% annual rate,-2.2,NA,NA,NA,NA,NA,221,Collier (1999) finds this result. Year approximate.
3,Healthcare costs,USA,NA,2018,Current expenditure,% of GDP,-13,NA,NA,NA,NA,NA,462,"Healthcare expenditure could be reduced from 20% to 7% of GDP through healthy lifestyles, including healthy eating, representing a $2.7 trillion USD saving per year. Reference is to Springmann et al. 2018."
4,GDP,World,Unspecified,2050,Water security,Proportion at risk,-0.5,NA,NA,NA,NA,NA,501,Half the globe's GDP at risk from water insecurity.
5,Grain Production,World,Unspecified,2050,Water security,Proportion at risk,-0.5,NA,NA,NA,NA,NA,501,Half the world's grain production at risk from water insecurity.
6,Food Production,Southern Africa,NA,2015,No CC,Million people,26,NA,NA,NA,NA,NA,514,Related to drought-induced food production losses.
7,Maize Productivity,Global,SSP126,2100,Original Ensemble,%,-5,NA,NA,NA,NA,NA,515,Shift from +5%
8,Maize Productivity,Global,SSP585,2100,Original Ensemble,%,-23,NA,NA,NA,NA,NA,515,Shift from +1%
9,GHG Emissions Cost,Global aggregate,Current system,2018,No CC,trillion USD,1.5,NA,NA,NA,NA,NA,587,Annual external costs
10,Nat. Capital Costs,Global aggregate,Current system,2018,No CC,trillion USD,1.7,NA,NA,NA,NA,NA,587,"Annual external costs, includes environmental costs"
11,Pollution/Pesticides Cost,Global aggregate,Current system,2018,No CC,trillion USD,2.1,NA,NA,NA,NA,NA,587,Annual external costs
12,Obesity Health Costs,Global aggregate,Current system,2018,No CC,trillion USD,2.7,NA,NA,NA,NA,NA,587,Annual health costs due to obesity
13,Total External Costs,Global aggregate,Current system,2019,No CC,trillion USD,6,NA,NA,NA,NA,NA,587,"At least, exploratory calculation"
14,Nat. Capital Costs,Global aggregate,Crop Production,2015,No CC,trillion USD,1.15,NA,NA,NA,NA,NA,587,Annual
15,Env Costs,Global,Unspecified,2023,Unspecified,Trillion USD,3,NA,NA,NA,NA,NA,591,Environmental costs include GHG emissions due to climate change.
16,Life Costs,Global,Unspecified,2023,Unspecified,Trillion USD,20,NA,NA,NA,NA,NA,591,Includes impacts from unhealthy diets.
17,Econ Costs,Global,Unspecified,2023,Unspecified,Trillion USD,1,NA,NA,NA,NA,NA,591,Includes impacts from unhealthy diets.
18,AMR Costs,Global,NA,2023,NA,USD Trillion,2.3,NA,NA,NA,NA,NA,595,Costs are likely partially due to food production but the exact amount is unclear.
19,Annual Investment,Globally,Various,2030,Current Investment,USD Billion,44.5,NA,NA,39,NA,50,622,"Required to end hunger by 2030, midpoint of range provided"
20,Hunger,Global agrifood system,IMPACT,2030,Current investments,billion US$,265,NA,NA,NA,NA,NA,628,Total additional cost to eradicate hunger.
21,Poverty,Global agrifood system,IMPACT,2030,Current investments,billion US$,52,NA,NA,NA,NA,NA,628,Cost to reduce extreme poverty by 5%.
22,Undernourished People,World,"SSP1, no CC",2030,No CC,Millions,0,NA,NA,251,NA,437,635,Assuming population growth is controlled and high economic growth rates (SSP1) are maintained. Shows reduction relative to current levels.
23,Undernourished People,World,"SSP1, RCP6.0",2030,No CC,Millions,0,NA,NA,288,NA,443,635,"Assuming population growth is controlled and high economic growth rates (SSP1) are maintained, but climate change (RCP6.0) is considered. Shows reduction relative to current levels."
24,Undernourished People,World,"SSP3, RCP6.0",2030,No CC,Millions,0,NA,NA,617,NA,842,635,"Under the worst scenario, with high population growth, economic stagnation, high-income inequality (SSP3), and a climate change impact (RCP6.0).  Shows increase relative to scenarios with controlled population and economic growth."
25,Undernourished People,World,Various,2030,NA,Millions,0,NA,NA,251,NA,842,635,"Range of number of undernourished people in 2030, based on AIM/CGE, GLOBIOM and IMPACT model-based assessments. Shows some reduction relative to current levels, or increase relative to 2000 levels."
26,Undernourishment,Globally aggregated,COVID-19 pandemic,2030,No COVID-19,Millions of people,69,NA,NA,NA,NA,NA,636,Calculated as 909 million (with COVID-19 impact) - 840 million (without COVID-19 impact)
27,GDP Growth,Globally aggregated,COVID-19 pandemic,2020,No pandemic,Percentage decline,-4.9,NA,NA,NA,NA,NA,636,Lower estimate of global GDP decline
28,GDP Growth,Globally aggregated,COVID-19 pandemic,2020,No pandemic,Percentage decline,-10,NA,NA,NA,NA,NA,636,Upper estimate of global GDP decline
29,Undernourishment,Globally aggregated,COVID-19 pandemic,2020,No pandemic,Millions of people,100,NA,NA,NA,NA,NA,636,Associated with a 4.9% decline in global GDP growth
30,Undernourishment,Globally aggregated,COVID-19 pandemic,2021,No pandemic,Millions of people,100,NA,NA,NA,NA,NA,636,Associated with a 4.9% decline in global GDP growth
31,Undernourishment,Globally aggregated,COVID-19 pandemic,2020,No pandemic,Millions of people,194,NA,NA,NA,NA,NA,636,Associated with a 10% decline in global GDP growth
32,Undernourishment,Globally aggregated,COVID-19 pandemic,2021,No pandemic,Millions of people,194,NA,NA,NA,NA,NA,636,Associated with a 10% decline in global GDP growth
33,Investment cost,Global Agriculture,MACC,2030,Baseline,US$ billion/year,11,NA,NA,NA,NA,NA,637,Investment required to lift 500 million people out of hunger by 2030.
34,Investment cost,Global Agriculture,MACC,2030,Baseline,US$ billion/year,14,NA,NA,NA,NA,NA,637,Investment required to lift 500 million people out of hunger by 2030.
35,Expenditure,Global,Ending hunger,2030,Current Exp.,USD billion,44.5,NA,NA,NA,NA,NA,643,Investment to lift 840 to 909 million people out of hunger.
36,Undernourishment,Global,Social protection scaleup,2030,Current Levels,Million people,206.2,NA,NA,NA,NA,NA,643,Scaling up existing social protection programmes and establishing new programmes.
37,Expenditure,Global,COVID-19 impact,2020,Pre-COVID,USD billion,12.3,NA,NA,NA,NA,NA,643,Additional expenditure due to potential increase in people at risk of hunger.
