,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP per capita,World,Unmitigated,2100,No CC,%,-7,NA,NA,NA,NA,NA,1,Persistent increase in average global temperature.
1,GDP per capita,World,Paris Agreement,2100,No CC,%,-1,NA,NA,NA,NA,NA,1,Limiting temperature increase to 0.01 ◦C per annum.
2,GDP,World,Unmitigated Var,2100,No CC,%,-13,NA,NA,NA,NA,NA,1,Country-specific variability of climate conditions rise commensurate with annual temperature increases of 0.04 ◦C.
3,Real GDP per capita growth,Global,Historical norm,2030,Historical temperature norm,Percentage points per year,-0.0577,NA,NA,NA,NA,NA,Page 5,A 0.01 °C annual increase in temperature above its historical norm reduces real GDP per capita growth by 0.0577 percentage points annually.
4,Real GDP per capita growth,Global,Historical norm,2030,Historical temperature norm,Percentage points per year,-0.0505,NA,NA,NA,NA,NA,Page 5,A 0.01 °C annual decrease in temperature below its historical norm reduces real GDP per capita growth by 0.0505 percentage points annually.
5,Real GDP per capita growth,Global,Historical norm,2030,Historical temperature norm,Percentage points per year,-0.0586,NA,NA,NA,NA,NA,Page 5,A persistent 0.01 °C increase in temperature above its historical norm reduces real GDP per capita growth by 0.0586 percentage points annually (statistically significant at 1% level).
6,Real GDP per capita growth,Global,Historical norm,2030,Historical temperature norm,Percentage points per year,-0.0520,NA,NA,NA,NA,NA,Page 5,A persistent 0.01 °C decrease in temperature below its historical norm reduces real GDP per capita growth by 0.0520 percentage points annually (statistically significant at 5% level).
7,GDP per capita growth,174 countries,Historical (1960-2014),2014,Historical Norm,percentage points,-0.373,0.141,NA,NA,NA,NA,6,"Specification 1, m=20, FE estimator, positive temperature deviations"
8,GDP per capita growth,174 countries,Historical (1960-2014),2014,Historical Norm,percentage points,-0.566,0.209,NA,NA,NA,NA,6,"Specification 1, m=20, HPJ-FE estimator, positive temperature deviations"
9,GDP per capita growth,174 countries,Historical (1960-2014),2014,Historical Norm,percentage points,-0.583,0.195,NA,NA,NA,NA,6,"Specification 1, m=30, FE estimator, positive temperature deviations"
10,GDP per capita growth,174 countries,Historical (1960-2014),2014,Historical Norm,percentage points,-0.894,0.291,NA,NA,NA,NA,6,"Specification 1, m=30, HPJ-FE estimator, positive temperature deviations"
