,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Investment,OECD,Baseline,2030,NA,$ billion/yr,80.4,NA,NA,NA,NA,NA,Page 5,Total annual investments
1,Investment,Reforming Economies,Baseline,2030,NA,$ billion/yr,19.3,NA,NA,NA,NA,NA,Page 5,Total annual investments
2,Investment,Asia,Baseline,2030,NA,$ billion/yr,121.2,NA,NA,NA,NA,NA,Page 5,Total annual investments
3,Investment,Middle East & Africa,Baseline,2030,NA,$ billion/yr,45,NA,NA,NA,NA,NA,Page 5,Total annual investments
4,Investment,Latin America,Baseline,2030,NA,$ billion/yr,29.7,NA,NA,NA,NA,NA,Page 5,Total annual investments
5,Investment,OECD,Baseline,2050,NA,$ billion/yr,78.3,NA,NA,NA,NA,NA,Page 5,Total annual investments
6,Investment,Reforming Economies,Baseline,2050,NA,$ billion/yr,21.3,NA,NA,NA,NA,NA,Page 5,Total annual investments
7,Investment,Asia,Baseline,2050,NA,$ billion/yr,183,NA,NA,NA,NA,NA,Page 5,Total annual investments
8,Investment,Middle East & Africa,Baseline,2050,NA,$ billion/yr,74.5,NA,NA,NA,NA,NA,Page 5,Total annual investments
9,Investment,Latin America,Baseline,2050,NA,$ billion/yr,35.4,NA,NA,NA,NA,NA,Page 5,Total annual investments
10,Investment,OECD,Baseline,2100,NA,$ billion/yr,72.9,NA,NA,NA,NA,NA,Page 5,Total annual investments
11,Investment,Reforming Economies,Baseline,2100,NA,$ billion/yr,17.6,NA,NA,NA,NA,NA,Page 5,Total annual investments
12,Investment,Asia,Baseline,2100,NA,$ billion/yr,202.2,NA,NA,NA,NA,NA,Page 5,Total annual investments
13,Investment,Middle East & Africa,Baseline,2100,NA,$ billion/yr,225.3,NA,NA,NA,NA,NA,Page 5,Total annual investments
14,Investment,Latin America,Baseline,2100,NA,$ billion/yr,38.8,NA,NA,NA,NA,NA,Page 5,Total annual investments
15,Investment,OECD,2/C14 C,2030,NA,$ billion/yr,96,NA,NA,NA,NA,NA,Page 5,Total annual investments
16,Investment,Reforming Economies,2/C14 C,2030,NA,$ billion/yr,19.6,NA,NA,NA,NA,NA,Page 5,Total annual investments
17,Investment,Asia,2/C14 C,2030,NA,$ billion/yr,127.6,NA,NA,NA,NA,NA,Page 5,Total annual investments
18,Investment,Middle East & Africa,2/C14 C,2030,NA,$ billion/yr,45.5,NA,NA,NA,NA,NA,Page 5,Total annual investments
19,Investment,Latin America,2/C14 C,2030,NA,$ billion/yr,32.8,NA,NA,NA,NA,NA,Page 5,Total annual investments
20,Investment,OECD,2/C14 C,2050,NA,$ billion/yr,86.1,NA,NA,NA,NA,NA,Page 5,Total annual investments
21,Investment,Reforming Economies,2/C14 C,2050,NA,$ billion/yr,26.1,NA,NA,NA,NA,NA,Page 5,Total annual investments
22,Investment,Asia,2/C14 C,2050,NA,$ billion/yr,216.4,NA,NA,NA,NA,NA,Page 5,Total annual investments
23,Investment,Middle East & Africa,2/C14 C,2050,NA,$ billion/yr,84.1,NA,NA,NA,NA,NA,Page 5,Total annual investments
24,Investment,Latin America,2/C14 C,2050,NA,$ billion/yr,40,NA,NA,NA,NA,NA,Page 5,Total annual investments
25,Investment,OECD,2/C14 C,2100,NA,$ billion/yr,76.5,NA,NA,NA,NA,NA,Page 5,Total annual investments
26,Investment,Reforming Economies,2/C14 C,2100,NA,$ billion/yr,19.9,NA,NA,NA,NA,NA,Page 5,Total annual investments
27,Investment,Asia,2/C14 C,2100,NA,$ billion/yr,214,NA,NA,NA,NA,NA,Page 5,Total annual investments
28,Investment,Middle East & Africa,2/C14 C,2100,NA,$ billion/yr,263.5,NA,NA,NA,NA,NA,Page 5,Total annual investments
29,Investment,Latin America,2/C14 C,2100,NA,$ billion/yr,41.3,NA,NA,NA,NA,NA,Page 5,Total annual investments
30,Renovation Rate,OECD,Baseline,2050,NA,%/yr,1.4,NA,NA,NA,NA,NA,Page 5,Average renovation rates
31,Renovation Rate,Reforming Economies,Baseline,2050,NA,%/yr,1.1,NA,NA,NA,NA,NA,Page 5,Average renovation rates
32,Renovation Rate,Asia,Baseline,2050,NA,%/yr,0.8,NA,NA,NA,NA,NA,Page 5,Average renovation rates
33,Renovation Rate,Middle East & Africa,Baseline,2050,NA,%/yr,0.4,NA,NA,NA,NA,NA,Page 5,Average renovation rates
34,Renovation Rate,Latin America,Baseline,2050,NA,%/yr,0.9,NA,NA,NA,NA,NA,Page 5,Average renovation rates
35,Renovation Rate,OECD,Baseline,2100,NA,%/yr,1.4,NA,NA,NA,NA,NA,Page 5,Average renovation rates
36,Renovation Rate,Reforming Economies,Baseline,2100,NA,%/yr,1.3,NA,NA,NA,NA,NA,Page 5,Average renovation rates
37,Renovation Rate,Asia,Baseline,2100,NA,%/yr,1.2,NA,NA,NA,NA,NA,Page 5,Average renovation rates
38,Renovation Rate,Middle East & Africa,Baseline,2100,NA,%/yr,0.8,NA,NA,NA,NA,NA,Page 5,Average renovation rates
39,Renovation Rate,Latin America,Baseline,2100,NA,%/yr,1.2,NA,NA,NA,NA,NA,Page 5,Average renovation rates
40,Renovation Rate,OECD,2/C14 C,2050,NA,%/yr,1.6,NA,NA,NA,NA,NA,Page 5,Average renovation rates
41,Renovation Rate,Reforming Economies,2/C14 C,2050,NA,%/yr,1.3,NA,NA,NA,NA,NA,Page 5,Average renovation rates
42,Renovation Rate,Asia,2/C14 C,2050,NA,%/yr,1.1,NA,NA,NA,NA,NA,Page 5,Average renovation rates
43,Renovation Rate,Middle East & Africa,2/C14 C,2050,NA,%/yr,0.6,NA,NA,NA,NA,NA,Page 5,Average renovation rates
44,Renovation Rate,Latin America,2/C14 C,2050,NA,%/yr,1.1,NA,NA,NA,NA,NA,Page 5,Average renovation rates
45,Renovation Rate,OECD,2/C14 C,2100,NA,%/yr,1.5,NA,NA,NA,NA,NA,Page 5,Average renovation rates
46,Renovation Rate,Reforming Economies,2/C14 C,2100,NA,%/yr,1.6,NA,NA,NA,NA,NA,Page 5,Average renovation rates
47,Renovation Rate,Asia,2/C14 C,2100,NA,%/yr,1.6,NA,NA,NA,NA,NA,Page 5,Average renovation rates
48,Renovation Rate,Middle East & Africa,2/C14 C,2100,NA,%/yr,1.2,NA,NA,NA,NA,NA,Page 5,Average renovation rates
49,Renovation Rate,Latin America,2/C14 C,2100,NA,%/yr,1.6,NA,NA,NA,NA,NA,Page 5,Average renovation rates
50,Heating Demand,Global,2C,2050,No CC,%,-27,NA,NA,NA,NA,NA,Page 6,Expected decrease in heating demand relative to today
51,Heating Demand,Global,2C,2100,No CC,%,-66,NA,NA,NA,NA,NA,Page 6,Expected decrease in heating demand relative to today
52,Cooling Demand,Global,2C,2050,No CC,%,176,NA,NA,NA,NA,NA,Page 6,Expected increase in cooling demand relative to today
53,Cooling Demand,Global,2C,2100,No CC,%,286,NA,NA,NA,NA,NA,Page 6,Expected increase in cooling demand relative to today
54,Heating Demand,OECD,Current levels,2024,Advanced technologies,%,7,NA,NA,NA,NA,NA,8,Reduction in heating demand resulting from increasing the insulation levels of the entire Dutch building stock. The year is estimated as the current year given that advanced technologies are already in effect.
