,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP,New Zealand,NA,2020,No CC,%,-0.35,NA,NA,NA,NA,NA,Abstract,GDP fluctuations explained by weather shocks; publication date used for year
1,Agricultural Output,New Zealand,NA,2020,No CC,%,-0.35,NA,NA,NA,NA,NA,Abstract,Agricultural output fluctuations explained by weather shocks; publication date used for year
2,Welfare Cost,New Zealand,NA,2020,No CC,% of permanent consumption,-0.30,NA,NA,NA,NA,NA,Abstract,publication date used for year
3,Welfare Cost,New Zealand,Worst Case Scenario,2020,No CC,% of permanent consumption,-0.46,NA,NA,NA,NA,NA,Abstract,Under climate change; publication date used for year
4,Consumption,New Zealand,NA,2100,No CC,%,-0.30,NA,NA,NA,NA,NA,Page 4,Willingness to give up consumption to rule out weather shocks
5,GDP Volatility,New Zealand,IPCC 2014,2100,Historical,NA,1,NA,NA,NA,NA,NA,Page 4,Climate change increases variability of key macroeconomic variables; 1 implies increase.
6,Agricultural Output Volatility,New Zealand,IPCC 2014,2100,Historical,NA,1,NA,NA,NA,NA,NA,Page 4,Climate change increases variability of key macroeconomic variables; 1 implies increase.
7,Real Exchange Rate Volatility,New Zealand,IPCC 2014,2100,Historical,NA,1,NA,NA,NA,NA,NA,Page 4,Climate change increases variability of key macroeconomic variables; 1 implies increase.
8,Consumption,New Zealand,Worst Case,2100,No CC,%,-0.46,NA,NA,NA,NA,NA,Page 4,Willingness to give up consumption due to weather-driven business cycles.
9,Agriculture GDP,New Zealand,NA,2020,No CC,Correlation,-0.31,NA,NA,NA,NA,NA,Table 1,"Correlation with weather index, sign indicates negative correlation, year is approximate"
10,Primary Sector GDP,New Zealand,NA,2020,No CC,Correlation,-0.25,NA,NA,NA,NA,NA,Table 1,"Correlation with weather index, sign indicates negative correlation, year is approximate"
11,Secondary Sector GDP,New Zealand,NA,2020,No CC,Correlation,-0.10,NA,NA,NA,NA,NA,Table 1,"Correlation with weather index, sign indicates negative correlation, year is approximate"
12,Tertiary Sector GDP,New Zealand,NA,2020,No CC,Correlation,0.39,NA,NA,NA,NA,NA,Table 1,"Correlation with weather index, year is approximate"
13,Agricultural Production,New Zealand,NA,2020,No CC,%,-0.12,NA,NA,NA,NA,NA,Page 9,Contemporaneous contraction due to a rise in soil moisture deficits (drought).
14,Agricultural Production,New Zealand,NA,2020,No CC,%,-1.27,NA,NA,NA,NA,NA,Page 9,Peak decline after three periods due to a rise in soil moisture deficits (drought).
15,GDP,New Zealand,NA,2020,No CC,%,-0.05,NA,NA,NA,NA,NA,Page 9,Contraction due to a rise in soil moisture deficits (drought).
16,Land productivity,New Zealand,NA,2020,Average weather,%,-0.0008,NA,NA,NA,NA,NA,Page 27,Permanent loss to land productivity generated by average weather shocks through the damage function.
17,Land productivity,New Zealand,NA,2020,Avg. weather shock,%,-15,NA,NA,NA,NA,NA,Page 27,Contemporaneous effect of an average weather shock.
18,Land productivity,New Zealand,NA,2020,Extreme drought,%,-26,NA,NA,NA,NA,NA,Page 27,Contemporaneous effect of an extreme drought.
