,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Accuracy,"Miami-Dade County, FL",Historical,2023,Observed,%,97.05,NA,NA,NA,NA,NA,Poster Overview,"Overall Accuracy from sensitivity analysis table is related to slope, HSG, imperviousness, and rainfall"
1,Accuracy,"Miami-Dade County, FL",Historical,2023,Observed,%,93.73,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Slope + HSG + Imperviousness + Rainfall
2,Accuracy,"Miami-Dade County, FL",Historical,2023,Observed,%,93.35,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Slope + Imperviousness + Rainfall
3,Accuracy,"Miami-Dade County, FL",Historical,2023,Observed,%,93.18,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Slope + HSG + Rainfall
4,Accuracy,"Miami-Dade County, FL",Historical,2023,Observed,%,92.90,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on HSG + Imperviousness + Rainfall
5,Accuracy,"Miami-Dade County, FL",Historical,2023,Observed,%,92.75,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Imperviousness + Rainfall
6,Accuracy,"Miami-Dade County, FL",Historical,2023,Observed,%,92.60,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on HSG + Rainfall
7,Accuracy,"Miami-Dade County, FL",Historical,2023,Observed,%,92.45,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Slope + Rainfall
8,Accuracy,"Miami-Dade County, FL",Historical,2023,Observed,%,91.57,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Rainfall
9,Ground Truth Index,"Miami-Dade County, FL",Historical,2023,Observed,%,84.05,NA,NA,NA,NA,NA,Poster Overview; Poster Results: Ground Truthing,
10,F1 Score,"Miami-Dade County, FL",Historical,2023,Observed,%,89.85,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Slope + HSG + Imperviousness + Rainfall
11,F1 Score,"Miami-Dade County, FL",Historical,2023,Observed,%,89.45,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Slope + Imperviousness + Rainfall
12,F1 Score,"Miami-Dade County, FL",Historical,2023,Observed,%,89.28,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Slope + HSG + Rainfall
13,F1 Score,"Miami-Dade County, FL",Historical,2023,Observed,%,88.97,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on HSG + Imperviousness + Rainfall
14,F1 Score,"Miami-Dade County, FL",Historical,2023,Observed,%,88.42,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Imperviousness + Rainfall
15,F1 Score,"Miami-Dade County, FL",Historical,2023,Observed,%,88.05,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on HSG + Rainfall
16,F1 Score,"Miami-Dade County, FL",Historical,2023,Observed,%,87.82,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Slope + Rainfall
17,F1 Score,"Miami-Dade County, FL",Historical,2023,Observed,%,86.52,NA,NA,NA,NA,NA,Poster Results: Sensitivity Analysis,Based on Rainfall
