,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Growth,AEs,DICE,2018,No CC,Rate/∆TA,-0.005,0.001,NA,NA,NA,NA,"Table 1, First Stage",Statistically significant negative impact of temperature anomaly on growth
1,Growth,EDCs,DICE,2018,No CC,Rate/∆TA,-0.003,0.001,NA,NA,NA,NA,"Table 1, First Stage",Statistically significant negative impact of temperature anomaly on growth
2,Growth Volatility,AEs,DICE,2018,No CC,Rate/∆TA Volatility,0.035,0.009,NA,NA,NA,NA,"Table 1, First Stage",Significant positive impact on growth volatility for AEs
3,Growth Volatility,EDCs,DICE,2018,No CC,Rate/∆TA Volatility,-0.061,0.008,NA,NA,NA,NA,"Table 1, First Stage",Significant negative impact on growth volatility for EDCs
4,Fitted Growth,AEs,DICE,2018,No CC,Fitted Value,8.237,2.637,NA,NA,NA,NA,"Table 1, Second Stage",Fitted growth value for AEs in the second stage
5,Fitted Growth,EDCs,DICE,2018,No CC,Fitted Value,26.775,2.915,NA,NA,NA,NA,"Table 1, Second Stage",Fitted growth value for EDCs in the second stage
6,∆ TA,Global,DICE,1990,No CC,Coefficient,0.364,0.078,NA,NA,NA,NA,Table A1,Coefficient of ∆ TA t− 1. Statistically significant at p<0.01.
7,∆ TA,Global,DICE,1990,No CC,Coefficient,0.236,0.100,NA,NA,NA,NA,Table A1,Coefficient of ∆ TA t− 2. Statistically significant at p<0.1.
8,∆ TA,Global,DICE,1990,No CC,Coefficient,-0.224,0.097,NA,NA,NA,NA,Table A1,Coefficient of ∆ TA t− 9. Statistically significant at p<0.1.
9,∆ TA,Global,DICE,1990,No CC,Coefficient,-0.474,0.073,NA,NA,NA,NA,Table A1,Coefficient of ∆ TA t− 12. Statistically significant at p<0.01.
10,∆ TA,Global,DICE,1990,No CC,Coefficient,0.250,0.106,NA,NA,NA,NA,Table A1,Coefficient of ∆ TA t− 14. Statistically significant at p<0.1.
11,Growth,Global,DICE,1990,No CC,Coefficient,0.014,0.006,NA,NA,NA,NA,Table A1,Coefficient of Growth t− 1. Statistically significant at p<0.1.
12,Growth,Global,DICE,1990,No CC,Coefficient,-0.015,0.007,NA,NA,NA,NA,Table A1,Coefficient of Growth t− 1. Statistically significant at p<0.1.
13,Growth,Global,DICE,1990,No CC,Coefficient,0.017,0.005,NA,NA,NA,NA,Table A1,Coefficient of Growth t− 1. Statistically significant at p<0.05.
