,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Sovereign Spreads,68 countries,Increased vulnerability,2024,No CC,percent,0,NA,10%,13.5,NA,NA,10,5yr/10yr maturity. Climate vulnerability impacts low-risk countries at longer maturities.
1,Sovereign Spreads,68 countries,Increased vulnerability,2024,No CC,percent,0,NA,10%,7,90%,27,10,2yr maturity. Climate vulnerability impacts high-risk countries
2,Sovereign Spreads,68 countries,Increased vulnerability,2024,No CC,percent,0,NA,10%,7,90%,14,10,1yr maturity. Climate vulnerability impacts high-risk countries
3,Borrowing Costs,68 countries,Panel Quantile Regression,2023,No CC,percent,0,NA,NA,NA,NA,NA,29,Climate change vulnerability increases sovereign borrowing costs. Preparedness for climate change adaptation contributes to lower spreads. Value is set to zero as no specific number is mentioned on page 29.
4,Sovereign Spreads,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.11,0.05,10%,0.13,90%,0.11,p.40,Vulnerability effect on sovereign spreads for 1-year maturity
5,Sovereign Spreads,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.11,0.04,50%,0.11,NA,NA,p.40,Vulnerability effect on sovereign spreads for 1-year maturity
6,Sovereign Spreads,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,-0.16,0.04,10%,-0.09,90%,-0.16,p.40,Readiness effect on sovereign spreads for 1-year maturity
7,Sovereign Spreads,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,-0.21,0.06,50%,-0.21,NA,NA,p.40,Readiness effect on sovereign spreads for 1-year maturity
8,Sovereign Spreads,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.16,0.04,10%,0.15,90%,0.16,p.40,Vulnerability effect on sovereign spreads for 2-year maturity
9,Sovereign Spreads,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.18,0.05,50%,0.18,NA,NA,p.40,Vulnerability effect on sovereign spreads for 2-year maturity
10,Sovereign Spreads,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,-0.04,0.05,10%,-0.03,90%,-0.04,p.40,Readiness effect on sovereign spreads for 2-year maturity
11,Sovereign Spreads,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,-0.13,0.05,50%,-0.13,NA,NA,p.40,Readiness effect on sovereign spreads for 2-year maturity
12,Inflation,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.28,0.04,10%,0.15,90%,0.28,p.40,Inflation effect on sovereign spreads for 1-year maturity
13,Inflation,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.20,0.04,50%,0.20,NA,NA,p.40,Inflation effect on sovereign spreads for 1-year maturity
14,Inflation,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.14,0.04,10%,0.10,90%,0.14,p.40,Inflation effect on sovereign spreads for 2-year maturity
15,Inflation,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.10,0.02,50%,0.10,NA,NA,p.40,Inflation effect on sovereign spreads for 2-year maturity
16,GDP Growth,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,-0.08,0.02,10%,-0.09,90%,-0.08,p.40,Real GDP growth effect on sovereign spreads for 1-year maturity
17,GDP Growth,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,-0.08,0.02,50%,-0.08,NA,NA,p.40,Real GDP growth effect on sovereign spreads for 1-year maturity
18,GDP Growth,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,-0.07,0.02,10%,-0.06,90%,-0.07,p.40,Real GDP growth effect on sovereign spreads for 2-year maturity
19,GDP Growth,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,-0.06,0.01,50%,-0.06,NA,NA,p.40,Real GDP growth effect on sovereign spreads for 2-year maturity
20,Debt,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.00,0.04,10%,0.01,90%,0.00,p.40,Debt to GDP ratio effect on sovereign spreads for 1-year maturity
21,Debt,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.06,0.03,50%,0.06,NA,NA,p.40,Debt to GDP ratio effect on sovereign spreads for 1-year maturity
22,Debt,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.09,0.06,10%,0.04,90%,0.09,p.40,Debt to GDP ratio effect on sovereign spreads for 2-year maturity
23,Debt,68 Countries,Panel Q Reg,2025,No CC,Scaled Units,0.06,0.02,50%,0.06,NA,NA,p.40,Debt to GDP ratio effect on sovereign spreads for 2-year maturity
24,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.00,0.01,NA,NA,90%,-0.01,42,Impact of Natural D. 3.1 on 1-year spreads at Quantile=0.9
25,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.00,0.01,10%,0.00,NA,NA,42,Impact of Natural D. 3.1 on 1-year spreads at Quantile=0.1
26,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.00,0.01,NA,NA,NA,NA,42,Impact of Natural D. 3.1 on 1-year spreads at Quantile=0.5
27,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.01,0.03,NA,NA,NA,NA,42,Impact of Natural D. 3.2 on 1-year spreads at Quantile=0.9
28,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.03,0.01,10%,0.03,NA,NA,42,Impact of Natural D. 3.2 on 1-year spreads at Quantile=0.1
29,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.01,0.01,NA,NA,NA,NA,42,Impact of Natural D. 3.2 on 1-year spreads at Quantile=0.5
30,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,-0.08,0.05,NA,NA,NA,NA,42,Impact of Natural D. 3.3 on 1-year spreads at Quantile=0.9
31,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.03,0.01,10%,0.03,NA,NA,42,Impact of Natural D. 3.3 on 1-year spreads at Quantile=0.1
32,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.00,0.02,NA,NA,NA,NA,42,Impact of Natural D. 3.3 on 1-year spreads at Quantile=0.5
33,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.02,0.02,NA,NA,NA,NA,42,Impact of Natural D. 3.1 on 2-year spreads at Quantile=0.9
34,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.01,0.01,10%,0.01,NA,NA,42,Impact of Natural D. 3.1 on 2-year spreads at Quantile=0.1
35,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.02,0.01,NA,NA,NA,NA,42,Impact of Natural D. 3.1 on 2-year spreads at Quantile=0.5
36,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,-0.01,0.01,NA,NA,NA,NA,42,Impact of Natural D. 3.2 on 2-year spreads at Quantile=0.9
37,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.02,0.01,10%,0.02,NA,NA,42,Impact of Natural D. 3.2 on 2-year spreads at Quantile=0.1
38,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.01,0.01,NA,NA,NA,NA,42,Impact of Natural D. 3.2 on 2-year spreads at Quantile=0.5
39,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,-0.84,0.42,NA,NA,NA,NA,42,Impact of Natural D. 3.3 on 2-year spreads at Quantile=0.9
40,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.00,0.01,10%,0.00,NA,NA,42,Impact of Natural D. 3.3 on 2-year spreads at Quantile=0.1
41,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.00,0.01,NA,NA,NA,NA,42,Impact of Natural D. 3.3 on 2-year spreads at Quantile=0.5
42,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.02,0.01,NA,NA,NA,NA,42,Impact of Natural D. 3.1 on 5-year spreads at Quantile=0.9
43,Sovereign Spreads,68 countries,Panel Quantile Regression,2025,NA,Basis Points,0.02,0.01,10%,0.02,NA,NA,42,Impact of Natural D. 3.1 on 5-year spreads at Quantile=0.1
