,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP,Germany,"May, myopic",2020,No CC,%,-0.14,NA,NA,NA,NA,NA,p. 2,Total reduction in GDP amounting to 0.14% of an average month.
1,Employment,Germany,"May, myopic",2020,No CC,%,-0.17,NA,NA,NA,NA,NA,p. 2,
2,GDP,Germany,Scenario 1,2020,Base year,%,-0.14,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 5"
3,Investment,Germany,Scenario 1,2020,Base year,%,-0.60,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 5"
4,Employment,Germany,Scenario 1,2020,Base year,%,-0.17,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 5"
5,Water use,Germany,Scenario 1,2020,Base year,%,-0.26,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 5"
6,GDP,Germany,Scenario 1,2020,Base year,%,-0.03,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 8"
7,Investment,Germany,Scenario 1,2020,Base year,%,-0.02,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 8"
8,Employment,Germany,Scenario 1,2020,Base year,%,-0.03,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 8"
9,Water use,Germany,Scenario 1,2020,Base year,%,-0.04,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 8"
10,GDP,Germany,Scenario 1,2020,Base year,%,-0.02,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 10"
11,Investment,Germany,Scenario 1,2020,Base year,%,-0.01,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 10"
12,Employment,Germany,Scenario 1,2020,Base year,%,-0.02,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 10"
13,Water use,Germany,Scenario 1,2020,Base year,%,-0.03,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Time period 10"
14,GDP,Germany,Scenario 1,2020,Base year,%,-0.38,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Total (all time periods)"
15,Investment,Germany,Scenario 1,2020,Base year,%,-0.45,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Total (all time periods)"
16,Employment,Germany,Scenario 1,2020,Base year,%,-0.37,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Total (all time periods)"
17,Water use,Germany,Scenario 1,2020,Base year,%,-0.60,NA,NA,NA,NA,NA,Page 3,"Myopic foresight, Total (all time periods)"
18,GDP,Germany,Scenario 1,2020,Base year,%,-0.14,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 5"
19,Investment,Germany,Scenario 1,2020,Base year,%,-0.60,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 5"
20,Employment,Germany,Scenario 1,2020,Base year,%,-0.17,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 5"
21,Water use,Germany,Scenario 1,2020,Base year,%,-0.26,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 5"
22,GDP,Germany,Scenario 1,2020,Base year,%,-0.06,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 8"
23,Investment,Germany,Scenario 1,2020,Base year,%,-0.04,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 8"
24,Employment,Germany,Scenario 1,2020,Base year,%,-0.05,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 8"
25,Water use,Germany,Scenario 1,2020,Base year,%,-0.09,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 8"
26,GDP,Germany,Scenario 1,2020,Base year,%,-0.03,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 10"
27,Investment,Germany,Scenario 1,2020,Base year,%,-0.12,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 10"
28,Employment,Germany,Scenario 1,2020,Base year,%,-0.02,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 10"
29,Water use,Germany,Scenario 1,2020,Base year,%,-0.04,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Time period 10"
30,GDP,Germany,Scenario 1,2020,Base year,%,-0.39,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Total (all time periods)"
31,Investment,Germany,Scenario 1,2020,Base year,%,-0.45,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Total (all time periods)"
32,Employment,Germany,Scenario 1,2020,Base year,%,-0.37,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Total (all time periods)"
33,Water use,Germany,Scenario 1,2020,Base year,%,-0.60,NA,NA,NA,NA,NA,Page 3,"Imperfect foresight, Total (all time periods)"
34,GDP,Germany,Scenario 1,2020,Base year,%,-0.16,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 5"
35,Investment,Germany,Scenario 1,2020,Base year,%,-0.06,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 5"
36,Employment,Germany,Scenario 1,2020,Base year,%,-0.17,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 5"
37,Water use,Germany,Scenario 1,2020,Base year,%,-0.30,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 5"
38,GDP,Germany,Scenario 1,2020,Base year,%,-0.01,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 8"
39,Investment,Germany,Scenario 1,2020,Base year,%,-0.02,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 8"
40,Employment,Germany,Scenario 1,2020,Base year,%,-0.01,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 8"
41,Water use,Germany,Scenario 1,2020,Base year,%,-0.01,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 8"
42,GDP,Germany,Scenario 1,2020,Base year,%,-0.01,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 10"
43,Investment,Germany,Scenario 1,2020,Base year,%,-0.01,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 10"
44,Employment,Germany,Scenario 1,2020,Base year,%,0.00,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 10"
45,Water use,Germany,Scenario 1,2020,Base year,%,-0.01,NA,NA,NA,NA,NA,Page 3,"Perfect foresight, Time period 10"
