,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Domestic Tourist Arrivals,Portugal,A1B,2030,No CC,percent,-2,NA,NA,NA,NA,NA,87,Reduction in most municipalities
1,Inbound Tourist Arrivals,Portugal,A1B,2030,No CC,percent,-0.5,NA,NA,NA,NA,NA,87,Reduction in most municipalities
2,Domestic Tourist Arrivals,Portugal,A1B,2050,No CC,percent,-2,NA,NA,NA,NA,NA,87,Reduction in most municipalities
3,Domestic Tourist Arrivals,Portugal,A1B,2050,No CC,percent,-4,NA,NA,NA,NA,NA,87,Reduction in most municipalities
4,Inbound Tourist Arrivals,Portugal,A1B,2050,No CC,percent,-0.5,NA,NA,NA,NA,NA,87,Reduction in most municipalities
5,Inbound Tourist Arrivals,Portugal,A1B,2050,No CC,percent,-1,NA,NA,NA,NA,NA,87,Reduction in most municipalities
6,Hotel Revenue,Portugal,A1B,2030,No CC,EUR million,-17.03,NA,NA,NA,NA,NA,87,Due to impact on domestic tourist arrivals; lower bound
7,Hotel Revenue,Portugal,A1B,2030,No CC,EUR million,-24.18,NA,NA,NA,NA,NA,87,Due to impact on domestic tourist arrivals; upper bound
8,Hotel Revenue,Portugal,A1B,2030,No CC,EUR million,-18.26,NA,NA,NA,NA,NA,87,Due to impact on inbound tourist arrivals; lower bound
9,Hotel Revenue,Portugal,A1B,2030,No CC,EUR million,-38.08,NA,NA,NA,NA,NA,87,Due to impact on inbound tourist arrivals; upper bound
10,Hotel Revenue,Portugal,A1B,2050,2030,factor,-4,NA,NA,NA,NA,NA,87,Increase in costs by at least a factor of four relative to 2030 costs
11,Revenue,Canada,NA,2003,No CC,Million Canadian dollars,-700,NA,NA,NA,NA,NA,4,Estimated costs of fires in terms of property losses and costs of fighting.
12,Revenue,Australia,NA,2003,No CC,Million US dollars,-20,NA,NA,NA,NA,NA,4,"Loss during the first month alone due to bushfires in Victoria, Australia."
