,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,Social Cost of Carbon,Global,Mid Emission,2023,No CC,US$/tonne of CO2,39,NA,NA,NA,NA,NA,Page 1,Median global SCC increases from US$ 173 to US$ 212 per tonne of CO2,"Tropical cyclones (TCs) can adversely affect economic development for more than a decade. Yet, these long-term effects are not accounted for in current estimates of the social cost of carbon (SCC), a key metric informing climate policy on the societal costs of greenhouse gas emissions. We here derive temperature-dependent damage functions for 41 TC-affected countries to quantify the country-level SCC induced by the persistent growth effects of damaging TCs. We find that accounting for TC impacts substantially increases the global SCC by more than 20%; median global SCC increases from US$ 173 to US$ 212 per tonne of CO2 under a middle-of-the-road future emission and socioeconomic development scenario. This increase is mainly driven by the strongly TC-affected major greenhouse gas emitting countries India, USA, China, Taiwan, and Japan. This suggests that the benefits of climate policies could currently be substantially underestimated. Adequately accounting for the damages of extreme weather events in policy evaluation may therefore help to prevent a critical lack of climate action. Tropical cyclones (TCs) are among the most harmful extreme weather events.; Page 8: ""The substantial increase in SCC by 22.2% at the global level and by 44.4% in TC-affected countries that we observe when explicitly accounting for TC impacts and their persistence in the economic system, suggests that a more explicit representation of TCs could drive up previous SCC estimates...""; Tropical cyclones (TCs) are among the most harmful extreme weather events. They affect on average 20.4 million people annually, and they caused mean direct annual economic losses of US$ 51.5 billion averaged over the last decade1. Critically, there is increasing empirical evidence that TC impacts can reduce economic growth in the affected country for more than a decade.; Our preferred estimate is with US $/tCO2 212 (66% CI: US$/tCO2 138–318) somewhat lower than the median estimate of the meta-analysis for 2018–2022. This is not surprising since we only resolve the impacts from annual temperatures and TCs, explicitly. (Page 7: More Notes)."
1,Social Cost of Carbon,Global,RCP6.0-SSP2,2055,No CC,US$/tonne of CO2,212,NA,66%,138,NA,318,Page 7,Our preferred estimate is with US $/tCO2 212 (66% CI: US$/tCO2 138–318) somewhat lower than the median estimate of the meta-analysis for 2018–2022.,"Tropical cyclones (TCs) can adversely affect economic development for more than a decade. Yet, these long-term effects are not accounted for in current estimates of the social cost of carbon (SCC), a key metric informing climate policy on the societal costs of greenhouse gas emissions. We here derive temperature-dependent damage functions for 41 TC-affected countries to quantify the country-level SCC induced by the persistent growth effects of damaging TCs. We find that accounting for TC impacts substantially increases the global SCC by more than 20%; median global SCC increases from US$ 173 to US$ 212 per tonne of CO2 under a middle-of-the-road future emission and socioeconomic development scenario. This increase is mainly driven by the strongly TC-affected major greenhouse gas emitting countries India, USA, China, Taiwan, and Japan. This suggests that the benefits of climate policies could currently be substantially underestimated. Adequately accounting for the damages of extreme weather events in policy evaluation may therefore help to prevent a critical lack of climate action. Tropical cyclones (TCs) are among the most harmful extreme weather events.; Page 8: ""The substantial increase in SCC by 22.2% at the global level and by 44.4% in TC-affected countries that we observe when explicitly accounting for TC impacts and their persistence in the economic system, suggests that a more explicit representation of TCs could drive up previous SCC estimates...""; Tropical cyclones (TCs) are among the most harmful extreme weather events. They affect on average 20.4 million people annually, and they caused mean direct annual economic losses of US$ 51.5 billion averaged over the last decade1. Critically, there is increasing empirical evidence that TC impacts can reduce economic growth in the affected country for more than a decade.; Our preferred estimate is with US $/tCO2 212 (66% CI: US$/tCO2 138–318) somewhat lower than the median estimate of the meta-analysis for 2018–2022. This is not surprising since we only resolve the impacts from annual temperatures and TCs, explicitly. (Page 7: More Notes)."
2,Economic loss,TC-affected countries,NA,2018,No CC,US$ billion,51.5,NA,NA,NA,NA,NA,Page 1,mean direct annual economic losses averaged over the last decade,"Tropical cyclones (TCs) can adversely affect economic development for more than a decade. Yet, these long-term effects are not accounted for in current estimates of the social cost of carbon (SCC), a key metric informing climate policy on the societal costs of greenhouse gas emissions. We here derive temperature-dependent damage functions for 41 TC-affected countries to quantify the country-level SCC induced by the persistent growth effects of damaging TCs. We find that accounting for TC impacts substantially increases the global SCC by more than 20%; median global SCC increases from US$ 173 to US$ 212 per tonne of CO2 under a middle-of-the-road future emission and socioeconomic development scenario. This increase is mainly driven by the strongly TC-affected major greenhouse gas emitting countries India, USA, China, Taiwan, and Japan. This suggests that the benefits of climate policies could currently be substantially underestimated. Adequately accounting for the damages of extreme weather events in policy evaluation may therefore help to prevent a critical lack of climate action. Tropical cyclones (TCs) are among the most harmful extreme weather events.; Page 8: ""The substantial increase in SCC by 22.2% at the global level and by 44.4% in TC-affected countries that we observe when explicitly accounting for TC impacts and their persistence in the economic system, suggests that a more explicit representation of TCs could drive up previous SCC estimates...""; Tropical cyclones (TCs) are among the most harmful extreme weather events. They affect on average 20.4 million people annually, and they caused mean direct annual economic losses of US$ 51.5 billion averaged over the last decade1. Critically, there is increasing empirical evidence that TC impacts can reduce economic growth in the affected country for more than a decade.; Our preferred estimate is with US $/tCO2 212 (66% CI: US$/tCO2 138–318) somewhat lower than the median estimate of the meta-analysis for 2018–2022. This is not surprising since we only resolve the impacts from annual temperatures and TCs, explicitly. (Page 7: More Notes)."
3,Increase in SCC,Global,NA,2023,No CC,%,22.2,NA,NA,NA,NA,NA,Page 8,The substantial increase in SCC by 22.2% at the global level,"Tropical cyclones (TCs) can adversely affect economic development for more than a decade. Yet, these long-term effects are not accounted for in current estimates of the social cost of carbon (SCC), a key metric informing climate policy on the societal costs of greenhouse gas emissions. We here derive temperature-dependent damage functions for 41 TC-affected countries to quantify the country-level SCC induced by the persistent growth effects of damaging TCs. We find that accounting for TC impacts substantially increases the global SCC by more than 20%; median global SCC increases from US$ 173 to US$ 212 per tonne of CO2 under a middle-of-the-road future emission and socioeconomic development scenario. This increase is mainly driven by the strongly TC-affected major greenhouse gas emitting countries India, USA, China, Taiwan, and Japan. This suggests that the benefits of climate policies could currently be substantially underestimated. Adequately accounting for the damages of extreme weather events in policy evaluation may therefore help to prevent a critical lack of climate action. Tropical cyclones (TCs) are among the most harmful extreme weather events.; Page 8: ""The substantial increase in SCC by 22.2% at the global level and by 44.4% in TC-affected countries that we observe when explicitly accounting for TC impacts and their persistence in the economic system, suggests that a more explicit representation of TCs could drive up previous SCC estimates...""; Tropical cyclones (TCs) are among the most harmful extreme weather events. They affect on average 20.4 million people annually, and they caused mean direct annual economic losses of US$ 51.5 billion averaged over the last decade1. Critically, there is increasing empirical evidence that TC impacts can reduce economic growth in the affected country for more than a decade.; Our preferred estimate is with US $/tCO2 212 (66% CI: US$/tCO2 138–318) somewhat lower than the median estimate of the meta-analysis for 2018–2022. This is not surprising since we only resolve the impacts from annual temperatures and TCs, explicitly. (Page 7: More Notes)."
4,Increase in SCC,TC-affected countries,NA,2023,No CC,%,44.4,NA,NA,NA,NA,NA,Page 8,The substantial increase in SCC by 44.4% in TC-affected countries,"Tropical cyclones (TCs) can adversely affect economic development for more than a decade. Yet, these long-term effects are not accounted for in current estimates of the social cost of carbon (SCC), a key metric informing climate policy on the societal costs of greenhouse gas emissions. We here derive temperature-dependent damage functions for 41 TC-affected countries to quantify the country-level SCC induced by the persistent growth effects of damaging TCs. We find that accounting for TC impacts substantially increases the global SCC by more than 20%; median global SCC increases from US$ 173 to US$ 212 per tonne of CO2 under a middle-of-the-road future emission and socioeconomic development scenario. This increase is mainly driven by the strongly TC-affected major greenhouse gas emitting countries India, USA, China, Taiwan, and Japan. This suggests that the benefits of climate policies could currently be substantially underestimated. Adequately accounting for the damages of extreme weather events in policy evaluation may therefore help to prevent a critical lack of climate action. Tropical cyclones (TCs) are among the most harmful extreme weather events.; Page 8: ""The substantial increase in SCC by 22.2% at the global level and by 44.4% in TC-affected countries that we observe when explicitly accounting for TC impacts and their persistence in the economic system, suggests that a more explicit representation of TCs could drive up previous SCC estimates...""; Tropical cyclones (TCs) are among the most harmful extreme weather events. They affect on average 20.4 million people annually, and they caused mean direct annual economic losses of US$ 51.5 billion averaged over the last decade1. Critically, there is increasing empirical evidence that TC impacts can reduce economic growth in the affected country for more than a decade.; Our preferred estimate is with US $/tCO2 212 (66% CI: US$/tCO2 138–318) somewhat lower than the median estimate of the meta-analysis for 2018–2022. This is not surprising since we only resolve the impacts from annual temperatures and TCs, explicitly. (Page 7: More Notes)."
5,People affected,Global,NA,2018,No CC,million,20.4,NA,NA,NA,NA,NA,Page 1,They affect on average 20.4 million people annually,"Tropical cyclones (TCs) can adversely affect economic development for more than a decade. Yet, these long-term effects are not accounted for in current estimates of the social cost of carbon (SCC), a key metric informing climate policy on the societal costs of greenhouse gas emissions. We here derive temperature-dependent damage functions for 41 TC-affected countries to quantify the country-level SCC induced by the persistent growth effects of damaging TCs. We find that accounting for TC impacts substantially increases the global SCC by more than 20%; median global SCC increases from US$ 173 to US$ 212 per tonne of CO2 under a middle-of-the-road future emission and socioeconomic development scenario. This increase is mainly driven by the strongly TC-affected major greenhouse gas emitting countries India, USA, China, Taiwan, and Japan. This suggests that the benefits of climate policies could currently be substantially underestimated. Adequately accounting for the damages of extreme weather events in policy evaluation may therefore help to prevent a critical lack of climate action. Tropical cyclones (TCs) are among the most harmful extreme weather events.; Page 8: ""The substantial increase in SCC by 22.2% at the global level and by 44.4% in TC-affected countries that we observe when explicitly accounting for TC impacts and their persistence in the economic system, suggests that a more explicit representation of TCs could drive up previous SCC estimates...""; Tropical cyclones (TCs) are among the most harmful extreme weather events. They affect on average 20.4 million people annually, and they caused mean direct annual economic losses of US$ 51.5 billion averaged over the last decade1. Critically, there is increasing empirical evidence that TC impacts can reduce economic growth in the affected country for more than a decade.; Our preferred estimate is with US $/tCO2 212 (66% CI: US$/tCO2 138–318) somewhat lower than the median estimate of the meta-analysis for 2018–2022. This is not surprising since we only resolve the impacts from annual temperatures and TCs, explicitly. (Page 7: More Notes)."
6,Growth,Japan,Historical,2015,No CC,%,-1.63,NA,NA,NA,NA,NA,3,Average annual growth losses due to TCs,"""we find that the average annual growth losses for strongly exposed countries such as Japan (1.63%) or the Philippines (2.62%) were in the historical period on average 10 and 15 times higher than for the only partially exposed USA (0.17%)."" Page 3"
7,Growth,Philippines,Historical,2015,No CC,%,-2.62,NA,NA,NA,NA,NA,3,Average annual growth losses due to TCs,"""we find that the average annual growth losses for strongly exposed countries such as Japan (1.63%) or the Philippines (2.62%) were in the historical period on average 10 and 15 times higher than for the only partially exposed USA (0.17%)."" Page 3"
8,Growth,USA,Historical,2015,No CC,%,-0.17,NA,NA,NA,NA,NA,3,Average annual growth losses due to TCs,"""we find that the average annual growth losses for strongly exposed countries such as Japan (1.63%) or the Philippines (2.62%) were in the historical period on average 10 and 15 times higher than for the only partially exposed USA (0.17%)."" Page 3"
9,Temperature Effect,TC-affected countries,RCPs and SSPs,2050,No CC,Significance Level,10,NA,NA,NA,NA,NA,3,TC impacts are an additional impact channel not captured by population-weighted temperature over land alone,"""we find that the average annual growth losses for strongly exposed countries such as Japan (1.63%) or the Philippines (2.62%) were in the historical period on average 10 and 15 times higher than for the only partially exposed USA (0.17%)."" Page 3"
