,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Agricultural TFP,Global,CMIP6,1961,No CC,%,-21,NA,NA,NA,NA,NA,306,Baseline model result. Equivalent to losing the last 7 years of productivity growth.
1,Agricultural TFP,Africa/LatAm,CMIP6,1961,No CC,%,-26,NA,NA,NA,NA,-34,306,More severe impacts in warmer regions
2,TFP,Global,CMIP6,2020,No CC,%,-20.8,NA,90%,-39.1,90%,-10.1,Page 309,The impact of anthropogenic climate change on global agricultural Total Factor Productivity (TFP) growth over the period 1961-2020.
3,Total Factor Productivity,Global,ACC,1961,No CC,%,-16.9,5.9,NA,NA,NA,NA,Page 5,The average mean impact of anthropogenic climate change (ACC) is reported to be -16.9% with a standard deviation of 5.9%.
4,Total Factor Productivity,Global,ACC,2015,No CC,%,-30,NA,NA,NA,NA,NA,Page 5,"The damage is said to be larger in the latter part of the sample (1989-2015), pointing to a reduction on the order of -30%."
5,Total Factor Productivity,Africa,ACC,1961,No CC,%,-34.0,NA,NA,NA,NA,NA,Page 5,ACC impact since 1961 is greater for Africa at -34.0%.
6,Total Factor Productivity,Near East and North Africa,ACC,1961,No CC,%,-30.0,NA,NA,NA,NA,NA,Page 5,ACC impact since 1961 is -30.0% for the Near East and North Africa.
7,Total Factor Productivity,Latin America and Caribbean,ACC,1961,No CC,%,-25.9,NA,NA,NA,NA,NA,Page 5,ACC impact since 1961 is -25.9% for Latin America and the Caribbean.
8,Total Factor Productivity,North America,ACC,1961,No CC,%,-12.5,NA,NA,NA,NA,NA,Page 5,ACC impact since 1961 is -12.5% for North America.
9,Total Factor Productivity,Europe and Central Asia,ACC,1961,No CC,%,-7.1,NA,NA,NA,NA,NA,Page 5,ACC impact since 1961 is -7.1% for Europe and Central Asia.
10,Output,Global,ACC,1961,No CC,%,-27.6,NA,90%,-48.3,90%,-14.3,Page 5,Global output is expected to be reduced by -27.6% with a 90% confidence interval between -48.3% and -14.3%.
11,Agricultural TFP growth,Global,CMIP6 with and without ACC,2021,No CC,%,-16.9,5.9,NA,NA,NA,NA,28,"Average mean impact of 288 models that do not exclude observations, plus and minus a standard deviation."
