,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Global income,Global,Not specified,2049,No CC,Percent,-19,NA,NA,-11,NA,-29,Page 551,This is the global projection of income reduction by 2049 due to climate change.
1,Income,Global,RCP2.6 and RCP8.5,2049,No CC,%,-19,NA,NA,11,NA,29,Page 552,The global income reduction constitutes a permanent reduction relative to a baseline without climate-change impacts. This is under SSP2 scenario.
2,Income,North America,RCP2.6 and RCP8.5,2049,No CC,%,-11,NA,NA,NA,NA,NA,Page 552,Median income reductions for North America.
3,Income,Europe,RCP2.6 and RCP8.5,2049,No CC,%,-11,NA,NA,NA,NA,NA,Page 552,Median income reductions for Europe.
4,Income,South Asia,RCP2.6 and RCP8.5,2049,No CC,%,-22,NA,NA,NA,NA,NA,Page 552,Median income reductions for South Asia.
5,Income,Africa,RCP2.6 and RCP8.5,2049,No CC,%,-22,NA,NA,NA,NA,NA,Page 552,Median income reductions for Africa.
6,Income,Global,RCP2.6 and RCP8.5,2049,No CC,Tril. 2005 int. $,-38,NA,NA,19,NA,59,Page 552,Annual global damages in 2049 under SSP2 scenario in trillion 2005 international dollars.
7,Income per capita,Global,RCP2.6,2050,No CC,%,-20,NA,10%,NA,34%,NA,3,"Figure 1 shading represents 34% and 10% confidence intervals reflecting the likely and very likely ranges, respectively"
8,Income per capita,Global,RCP8.5,2050,No CC,%,-20,NA,10%,NA,34%,NA,3,"Figure 1 shading represents 34% and 10% confidence intervals reflecting the likely and very likely ranges, respectively"
9,Climate damages,Global,RCP2.6,2050,Mitigation costs,Trillion 2005 USD,6,NA,NA,NA,NA,NA,3,Median committed climate damages are larger than median mitigation costs in 2050 (six trillion in 2005 international dollars) by a factor of approximately six
10,Income reductions,Global,Avg Temp only,2049,No CC,%,-13,NA,NA,NA,NA,NA,3,Damages based on models that consider changes in annual average temperature only and exclude other climate variables
11,Income,Global,SSP2-RCP8.5,2049,No CC,percentage change,-30,NA,NA,NA,NA,NA,Page 4,Projected reduction in income per capita due to climate impacts for RCP8.5.
12,Income,Region,SSP2-RCP2.6,2049,No CC,percentage change,-25,NA,NA,NA,NA,NA,Page 4,Projected reduction in income per capita focusing on RCP2.6 scenario.
13,Income,Sub-national regions,Various,2049,No CC,percent,-10,NA,5%,-30,21%,0,Page 4,Percentage changes in income per capita across sub-national regions due to climate variables.
14,Income,Global,Total,2049,No CC,percentage points,-4.9,NA,2.4%,-8.7,10%,NA,Page 4,Accounting for daily temperature variability on overall economic damages (trillions of international dollars).
15,Income,Global,Total,2049,No CC,percentage points,-0.36,NA,0.13%,-0.65,0.65%,NA,Page 4,Pertaining to extreme precipitation modifying income outcomes globally.
16,Income,Global,RCP2.6/RCP8.5,2049,No CC,%,-19,NA,NA,11,NA,29,6,"Committed damage, indistinguishable across emission scenarios until mid-century"
17,Income,Global,RCP2.6/RCP8.5,2049,No CC,%-points,0,NA,10%,-25,90%,0,Page 17,Difference in committed damages between upper and lower GDP quartiles; symmetrical shape indicates no clear trend
18,Income,Global,RCP2.6/RCP8.5,2049,No CC,%-points,0,NA,10%,-25,90%,0,Page 17,"Difference in committed damages between upper and lower GDP quartiles; median is near zero, suggesting no consistent difference"
19,Income,Global,RCP2.6/RCP8.5,2049,No CC,%-points,0,NA,10%,-5,90%,27,Page 17,"Difference in committed damages between upper and lower cumulative emissions quartiles; median is just below zero, indicating slight damages in high emission areas, data skewed to higher values"
20,Income,Global,SSP2-RCP8.5,2049,No CC,%,-19,NA,5%,-29,95%,-11,Review of paper,Committed damages by 2049. Range 11-29%.
