,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Output per adult,South Africa,Severe climate scenario,2100,No CC,percentage points,-11,NA,NA,NA,NA,NA,Abstract,End of century
1,Wage inequality,South Africa,"SSP2, RCPs",2050,No CC,NA,0,NA,NA,NA,NA,NA,Page 3,"Climate change decreases the relative availability of female low-skilled labour, which causes the relative wages of low-skilled female labour to increase, closing the wage gap between male and female low-skilled labour as well as the wage gap between low-skilled and high-skilled female labour. Relative gains from closing the gender pay gap are likely to be compensated by the overall negative impact of climate change on economic output. Estimated for 2050"
2,Labor availability,South Africa,"SSP2, RCPs",2050,No CC,NA,0,NA,NA,NA,NA,NA,Page 3,Climate change decreases the relative availability of female low-skilled labour. Estimated for 2050
3,GDP/Output,South Africa,"SSP2, RCPs",2050,No CC,NA,0,NA,NA,NA,NA,NA,Page 3,Relative gains from closing the gender pay gap are likely to be compensated by the overall negative impact of climate change on economic output. Estimated for 2050
4,Labor Supply,South Africa,RCP2.6,2050,Optimal Temperature,Degrees Celsius,28.6,NA,NA,NA,NA,NA,Text,Optimal temperature for both male and female workers in the low-exposure sector. Assuming 'Future' means mid-century.
5,Labor Supply,South Africa,RCP8.5,2050,Optimal Temperature,Degrees Celsius,28.6,NA,NA,NA,NA,NA,Text,Optimal temperature for both male and female workers in the low-exposure sector. Assuming 'Future' means mid-century.
6,Labor Supply,South Africa,RCP2.6,2050,Optimal Temperature,Degrees Celsius,26.7,NA,NA,NA,NA,NA,Text,Optimal maximum temperature for female workers in the high-exposure sector. Assuming 'Future' means mid-century.
7,Labor Supply,South Africa,RCP8.5,2050,Optimal Temperature,Degrees Celsius,26.7,NA,NA,NA,NA,NA,Text,Optimal maximum temperature for female workers in the high-exposure sector. Assuming 'Future' means mid-century.
8,Labor Supply,South Africa,RCP2.6,2050,Optimal Temperature,Degrees Celsius,27.6,NA,NA,NA,NA,NA,Text,Weekly maximum temperature at which the supply of male workers is maximized in the high-exposure sector. Assuming 'Future' means mid-century.
9,Labor Supply,South Africa,RCP8.5,2050,Optimal Temperature,Degrees Celsius,27.6,NA,NA,NA,NA,NA,Text,Weekly maximum temperature at which the supply of male workers is maximized in the high-exposure sector. Assuming 'Future' means mid-century.
10,Labor Supply,South Africa,NA,2024,Optimal Temperature,Degrees Celsius,26.3,NA,NA,NA,NA,NA,Text,Labour supply in the high-exposure sector is maximized at this temperature.
11,Labor Supply,South Africa,NA,2024,Optimal Temperature,Degrees Celsius,28.1,NA,NA,NA,NA,NA,Text,Optimal temperature in the low-exposure labour force.
12,Labor Supply,South Africa,NA,2024,Optimal Temperature,Degrees Celsius,25.3,NA,NA,NA,NA,NA,Text,Labour supply in the high-exposure sector is maximized at this temperature (with log transformation).
13,Labor Supply,South Africa,NA,2017,No CC,Degrees Celsius,27.3,NA,NA,NA,NA,NA,Page 7,Optimal weekly temperature maximizing labor supply for male workers in the high-exposure sector when week fixed-effects are replaced by month fixed-effects. Based on 2008-2017 data.
14,Labor Supply,South Africa,NA,2017,No CC,Degrees Celsius,26.5,NA,NA,NA,NA,NA,Page 7,Optimal temperature for female labor supply in the high-exposure sector when week fixed-effects are replaced by month fixed-effects. Based on 2008-2017 data.
15,Labor Supply,South Africa,NA,2017,No CC,Degrees Celsius,27.7,NA,NA,NA,NA,NA,Page 7,Optimal weekly temperature maximizing labor supply for male workers in the high-exposure sector with province fixed-effects instead of district fixed-effects. Based on 2008-2017 data.
16,Labor Supply,South Africa,NA,2017,No CC,Degrees Celsius,26.6,NA,NA,NA,NA,NA,Page 7,Optimal weekly temperature maximizing labor supply for female workers in the high-exposure sector with province fixed-effects instead of district fixed-effects. Based on 2008-2017 data.
