,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Housing Price,NJ/NY/CT Coast,Observed,2000,1970,$,274500,NA,NA,NA,NA,NA,Page 4,
1,Housing Price,NJ/NY/CT Coast,Observed,2010,1970,$,504100,NA,NA,NA,NA,NA,Page 4,
2,Housing Price,NJ/NY/CT Coast,Observed,2020,1970,$,581700,NA,NA,NA,NA,NA,Page 4,
3,Precipitation,NJ/NY/CT Coast,Observed,2021,1970,cm/day,7.4,NA,NA,NA,NA,NA,Page 4,Avg annual max daily
4,Precip Events,NJ/NY/CT Coast,Observed,2021,1970,events,9,NA,NA,NA,NA,NA,Page 4,>10 cm/day
5,High Tide,"Battery, NY",Observed,1970,1970,m MSL,0.76,NA,NA,NA,NA,NA,Page 4,
6,Storm Surge,NJ/NY/CT Coast,Observed,2021,1970,m MSL,1.57,NA,NA,NA,NA,NA,Page 4,Avg annual max
7,Insurance Claims,NJ/NY/CT Coast,Observed,2021,1970,claims/year,3476,NA,NA,NA,NA,NA,Page 4,Annual avg
8,Claim Total,NJ/NY/CT Coast,Observed,2021,1970,$,112000000,NA,NA,NA,NA,NA,Page 4,Annual avg
9,Insurance Claims,NJ/NY/CT Coast,Observed,2012,1970,claims,75247,NA,NA,NA,NA,NA,Page 4,Sandy
10,NFIP Policies,NJ/NY/CT Coast,Observed,2013,1970,policies,182530,NA,NA,NA,NA,NA,Page 4,Maximum
11,NFIP Policies,NJ/NY/CT Coast,Observed,2021,1970,policies,144954,NA,NA,NA,NA,NA,Page 4,
12,Home Values,New Jersey,NFIP Participation,2021,No NFIP,% Change,-1,NA,NA,NA,NA,NA,Page 8,Housing values in New Jersey census tracts show declines correlated with NFIP participation and perceived risk. The value indicates negative impact rather than a specific numerical result. Data from 1970 to 2021.
13,Home Values,New York,NFIP Participation,2021,No NFIP,% Change,-1,NA,NA,NA,NA,NA,Page 8,"Housing values in New York census tracts are affected by NFIP policy lapse and perceived risk, independent of actual flood hazards. The value indicates negative impact rather than a specific numerical result. Data from 1970 to 2021."
14,Home Values,Connecticut,NFIP Participation,2021,No NFIP,% Change,-1,NA,NA,NA,NA,NA,Page 8,"Connecticut census tracts show home value declines, linked with precautionary measure lapse and NFIP participation. The value indicates negative impact rather than a specific numerical result. Data from 1970 to 2021."
