,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,Sockeye salmon productivity,Gulf of Alaska,Historical,2020,Long-term log mean,SD,-1.4,NA,NA,NA,NA,NA,Page 1,Catches for salmon migrating to sea in years with FAR >= 0.98,"""We link negative warming effects on sockeye fishery catches to increasing human influence on regional temperatures, and we find that sockeye salmon migrating to sea in years with the strongest evidence for human effects on temperature (FAR ≥ 0.98) produce catches 1.4 standard deviations below the long-term log mean.""; ""Extreme regional SST values that were expected every 1000–10,000 years in the preindustrial climate are expected every 5–40 years in the current climate."""
1,SST event frequency,North Pacific,Current climate,2023,Preindustrial climate,Years per event,5,NA,NA,NA,NA,NA,Page 1,"Extreme regional SST values were expected every 1000-10,000 years in the preindustrial climate","""We link negative warming effects on sockeye fishery catches to increasing human influence on regional temperatures, and we find that sockeye salmon migrating to sea in years with the strongest evidence for human effects on temperature (FAR ≥ 0.98) produce catches 1.4 standard deviations below the long-term log mean.""; ""Extreme regional SST values that were expected every 1000–10,000 years in the preindustrial climate are expected every 5–40 years in the current climate."""
2,SST,North Pacific,Historical,2017,1970s,FAR,0.98,NA,NA,NA,NA,NA,Page 1,Overwhelming evidence of human contribution to SST in 2014-2020.,
3,SST Anomalies,Eastern Bering Sea,Historical,2022,Pre-1950,RR,1,NA,NA,NA,NA,NA,Page 9,Consistent strong anthropogenic influence on SST.,
4,Sockeye Salmon Catch,Gulf of Alaska,Historical,2017,Long-term log mean,Standard deviations,-1.4,NA,NA,NA,NA,NA,Page 1,Catches consistently lower during years with the strongest evidence for human effects on temperature in 2014-2020.,
5,SST Risk,North Pacific,Historical,2022,Pre-1950,RR,1,NA,NA,NA,NA,NA,Page 4,Key outcomes include a rapid increase in SST risk ratios and the shift from rare to common thresholds for extreme temperatures over recent decades.,
6,Sea Surface Temperature,North Pacific,Historical,2003,No human influence,FAR,0.99,NA,NA,NA,NA,NA,Page 4,Three-year running mean SST,"
'''Page 1: ""We use the Gulf of Alaska sockeye salmon fishery to show how attribution timeseries may be used to contextualize the impacts of human-induced ocean warming on ecosystem services. We link negative warming effects on sockeye fishery catches to increasing human influence on regional temperatures (increasing FAR values), and we find that sockeye salmon migrating to sea in years with the strongest evidence for human effects on temperature (FAR ≥ 0.98) produce catches 1.4 standard deviations below the long-term log mean."" Page 4: ""All five regions, plus the overall North Pacific, have reached temperatures that can be attributed to human activities with high confidence (i.e. FAR > 0.98). In particular, North Pacific SST has effectively become fixed in an anthropogenic state, with FAR⩾ 0.99 for three-year running mean SST since 2003, and for annual SST since 2013 (figure 3).""'''
"
7,Sea Surface Temperature,North Pacific,Historical,2013,No human influence,FAR,0.99,NA,NA,NA,NA,NA,Page 4,Annual SST,"
'''Page 1: ""We use the Gulf of Alaska sockeye salmon fishery to show how attribution timeseries may be used to contextualize the impacts of human-induced ocean warming on ecosystem services. We link negative warming effects on sockeye fishery catches to increasing human influence on regional temperatures (increasing FAR values), and we find that sockeye salmon migrating to sea in years with the strongest evidence for human effects on temperature (FAR ≥ 0.98) produce catches 1.4 standard deviations below the long-term log mean."" Page 4: ""All five regions, plus the overall North Pacific, have reached temperatures that can be attributed to human activities with high confidence (i.e. FAR > 0.98). In particular, North Pacific SST has effectively become fixed in an anthropogenic state, with FAR⩾ 0.99 for three-year running mean SST since 2003, and for annual SST since 2013 (figure 3).""'''
"
8,Sockeye Salmon Catches,Gulf of Alaska,Historical,2014,Moderate human infl,Std dev,-1.4,NA,NA,NA,NA,NA,Page 1,FAR >= 0.98 vs FAR <= 0.91,"
'''Page 1: ""We use the Gulf of Alaska sockeye salmon fishery to show how attribution timeseries may be used to contextualize the impacts of human-induced ocean warming on ecosystem services. We link negative warming effects on sockeye fishery catches to increasing human influence on regional temperatures (increasing FAR values), and we find that sockeye salmon migrating to sea in years with the strongest evidence for human effects on temperature (FAR ≥ 0.98) produce catches 1.4 standard deviations below the long-term log mean."" Page 4: ""All five regions, plus the overall North Pacific, have reached temperatures that can be attributed to human activities with high confidence (i.e. FAR > 0.98). In particular, North Pacific SST has effectively become fixed in an anthropogenic state, with FAR⩾ 0.99 for three-year running mean SST since 2003, and for annual SST since 2013 (figure 3).""'''
"
9,SST,North Pacific,Historical,2014,pre-1950 mean,°C,0.01,NA,NA,NA,NA,NA,Page 5,"In all regions, SST anomaly exceeds 0 degrees C.  Using an arbitrarily small positive number.","
""""""Environ. Res. Lett.19(2024)014014                                                                                        MALitzow    etal
   Figure2.ModelledandobservedtemperaturechangeintheNorthPacificbasinandfiveregionalecosystems:seasurface
   temperature(SST)anomalies(◦      C)relativetothepre-1950meanforthreeCMIP6runs(Historical,SSP2-4.5,SSP5-8.5)and
   ERSSTv5observations.CMIP6valuesareweightedmulti-modelmeanvalues(lines)                ±  2weightedstandarddeviations(shaded
   ribbons).
   Figure3.AttributiontimeseriesfortheNorthPacificOceanandregionalecosystems:multi-modelestimatesoftheFractionof
   AttributableRisk(FAR)forannualandthree-yearrunningmeanSSTwith95%credibleintervals,1950-2022.Dashedhorizontal
   lineatFAR   = 0indicatestemperaturesthatareequallylikelywithandwithouthuman-inducedclimatechange.
heatwavesthatpresentedunprecedentedclimateper-                        that is consistent with Arctic amplification of global
turbations to northeast Pacific ecosystems [37              –39  ].   warming. The two northernmost ecosystems have
However,thetrendandpatterninreachingthesehigh                         shown FAR        >  0.5 (anomalies twice as likely due to
levelsofattributableriskvariedamongregions.Most                       human influence) for three-year running mean SST
notably, FAR estimates show a north-south gradient                    in every year since 1984 (Eastern Bering Sea) and
                                                        5""""""
"
