,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Market-to-book ratio,US,Stylized changes,2015,No CC,%,0.17,NA,NA,NA,NA,NA,18,One standard deviation increase in environmental score; Average year between 2010 and 2019
1,Valuation ratio,US,Stylized changes,2015,No CC,%,-0.10,NA,NA,NA,NA,NA,18,One standard deviation increase in governance (entrenchment) score; Average year between 2010 and 2019
2,Equity Prices,US,Investor Preference Shift,2019,Baseline,%,0.14,NA,NA,NA,NA,NA,29,One standard deviation increase in the environmental score after foreign investors leave the US and their assets are reallocated to domestic institutions.
3,Equity Prices,US,Investor Preference Shift,2019,Baseline,%,0.21,NA,NA,NA,NA,NA,29,One standard deviation increase in the environmental score in the case of small-active investment advisors.
4,Environmental Score,United States,Stakeholder Risk,2019,Benchmark,Coefficient,0.57,NA,NA,NA,NA,NA,36,"Increase in coefficient in regression of log market-to-book ratios on environmental score, when all investors increase demand for green firms."
5,Environmental Score,United States,Regulatory Risk,2019,Benchmark,Coefficient,0.03,NA,NA,NA,NA,NA,36,"Increase in coefficient in regression of log market-to-book ratios on environmental score, when only insurance companies and pension funds increase demand for green firms."
6,Market-to-Book Ratio,United States,Historical,2019,No CC,Unitless,0.17,NA,NA,NA,NA,NA,47,Regression coefficient for Environmental score on log market-to-book ratio (mb). Environmental scores are from Sustainalytics. Data from 2010-2019.
7,Earnings Growth,United States,Historical,2019,No CC,Unitless,0.04,NA,NA,NA,NA,NA,47,Regression coefficient for Environmental score on cumulative earnings growth (e5). Environmental scores are from Sustainalytics. Data from 2010-2019.
8,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,0.23,NA,NA,NA,NA,NA,51,Coefficient on Environment in valuation regression
9,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,-0.14,NA,NA,NA,NA,NA,51,Change in coefficient on Environment in valuation regression
10,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,-0.14,NA,NA,NA,NA,NA,51,Coefficient on Governance in valuation regression
11,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,0.09,NA,NA,NA,NA,NA,51,Change in coefficient on Governance in valuation regression
12,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,-0.74,NA,NA,NA,NA,NA,51,Coefficient on Log Book Equity in valuation regression
13,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,-0.21,NA,NA,NA,NA,NA,51,Change in coefficient on Log Book Equity in valuation regression
14,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,0.11,NA,NA,NA,NA,NA,51,Coefficient on Foreign Sales in valuation regression
15,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,-0.02,NA,NA,NA,NA,NA,51,Change in coefficient on Foreign Sales in valuation regression
16,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,0.11,NA,NA,NA,NA,NA,51,Coefficient on Lerner in valuation regression
17,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,-0.04,NA,NA,NA,NA,NA,51,Change in coefficient on Lerner in valuation regression
18,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,0.22,NA,NA,NA,NA,NA,51,Coefficient on Sales to Book in valuation regression
19,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,-0.09,NA,NA,NA,NA,NA,51,Change in coefficient on Sales to Book in valuation regression
20,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,0.16,NA,NA,NA,NA,NA,51,Coefficient on Dividend to Book in valuation regression
21,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,-0.03,NA,NA,NA,NA,NA,51,Change in coefficient on Dividend to Book in valuation regression
22,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,-0.04,NA,NA,NA,NA,NA,51,Coefficient on Market Beta in valuation regression
23,Market-to-book ratio,US,2007 curves re-activated,2019,Original,Coefficient,0.02,NA,NA,NA,NA,NA,51,Change in coefficient on Market Beta in valuation regression
