,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,All,Coastal Protection,Global,4°C+ Temperature Rise,National Adaptation Costs,AdaptationCost,Economic,Need,% of global GDP,0.02,NA,NA,NA,NA,NA,Page 1,Relates to widespread upgrade of protection against sea-level rise.
1,Population,Coastal Protection,"Small Islands, Africa, Asia",4°C+ Temperature Rise,Population Displacement,NonMonetaryBenefits,Economic,Need,million people,187,NA,NA,NA,NA,NA,Page 1,"Forced displacement due to sea-level rise, potentially avoidable by widespread protection."
2,All,Dikes and Nourishment,Global,0.5m SLR (protection),Adaptation Costs,AdaptationCost,Economic,Need,US$ billion / yr,25,NA,NA,NA,NA,NA,page 13,1995 values
3,All,Dikes and Nourishment,Global,2.0m SLR (protection),Adaptation Costs,AdaptationCost,Economic,Need,US$ billion / yr,270,NA,NA,NA,NA,NA,page 13,1995 values
4,All,Dikes,Global,0.5m SLR (protection),Dike Cost %,AdaptationCost,Economic,Need,%,39,NA,NA,NA,NA,NA,page 13,Of total adaptation costs
5,All,Dikes,Global,2.0m SLR (protection),Dike Cost %,AdaptationCost,Economic,Need,%,51,NA,NA,NA,NA,NA,page 13,Of total adaptation costs
6,All,Dikes,Global,0.5m SLR (protection),Maint Cost %,AdaptationCost,Economic,Need,%,25,NA,NA,NA,NA,NA,page 13,Of total adaptation costs
7,All,Dikes,Global,2.0m SLR (protection),Maint Cost %,AdaptationCost,Economic,Need,%,37,NA,NA,NA,NA,NA,page 13,Of total adaptation costs
8,All,Nourishment,Global,0.5m SLR (protection),Nourish Cost %,AdaptationCost,Economic,Need,%,36,NA,NA,NA,NA,NA,page 13,Of total adaptation costs
9,All,Nourishment,Global,2.0m SLR (protection),Nourish Cost %,AdaptationCost,Economic,Need,%,13,NA,NA,NA,NA,NA,page 13,Of total adaptation costs
10,All,No Protection,Global,0.5m SLR,Pop Displacement,NonMonetaryBenefits,Economic,Need,people,41000,NA,NA,NA,NA,305000,page 13,"Lower value corresponds to 0.5m, higher to 2.0m sea level rise"
11,All,No Protection,Global,2.0m SLR,Pop Displacement,NonMonetaryBenefits,Economic,Need,people,305000,NA,NA,NA,NA,NA,page 13,"Lower value corresponds to 0.5m, higher to 2.0m sea level rise"
