,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Maize Yield,Europe & North America,Climate Change,2024,"Monoculture, Non-detrimental",kg/ha,553,NA,NA,NA,NA,NA,3,Benefits of adding three crop species to monocultures under detrimental climate conditions exceeded average yield of monocultures by this amount.
1,Yield,North America,High Yield Season,2039,Monoculture,kg/ha,508,NA,NA,274,NA,742,12,Species diversity benefit under high-yielding conditions (first T quartile and third P quartile) for Maize.
2,Yield,North America,Low Yield Season,2039,Monoculture,kg/ha,1368,NA,NA,1026,NA,1710,12,Species diversity benefit under low-yielding conditions (third T and P quartiles) for Maize.
3,Yield,Europe,High Yield Season,2039,Monoculture,kg/ha,1601,NA,NA,1268,NA,1935,12,Species diversity benefit under high-yielding conditions (first T quartile and first P quartile) for Maize.
4,Yield,North America,Avg Climate,2039,Monoculture,kg/ha,722,NA,NA,431,NA,1013,12,Species diversity benefit under average climatic conditions for winter small grains.
5,Yield,Europe,Avg Climate,2039,Monoculture,kg/ha,393,NA,NA,148,NA,637,12,Species diversity benefit under average climatic conditions for spring small grains.
6,Yield,North America,High Yield Season,2039,Monoculture,kg/ha,973,NA,NA,701,NA,1244,12,Species diversity benefit under high-yielding conditions (first quartile and first P quartile) for winter small grains.
7,Yield,Europe,High Yield Season,2039,Monoculture,kg/ha,508,NA,NA,274,NA,742,12,Species diversity benefit under high-yielding conditions (first quartile and first P quartile) for spring small grains.
8,Yield,North America,"High T, low P",2039,"Monoculture, no CC",kg/ha,1150,NA,2.5%,-1553,97.5%,-746,11,Yield benefit from species diversity (2.59) compensating monoculture loss
9,Yield,North America,"High T, low P",2039,Species div 2.59,kg/ha,553,NA,2.5%,125,97.5%,980,11,Additional yield by increasing species diversity to 4.57
10,Yield,North America,"High T, low P",2039,"Monoculture, no CC",kg/ha,1017,NA,2.5%,-1419,97.5%,-615,11,Yield benefit from species diversity (3.19) compensating monoculture loss
11,Yield,North America,High CDD/TDD,2039,Local avg CDD/TDD,kg/ha,-511,NA,2.5%,-827,97.5%,-195,11,Monoculture yield reduction due to increasing CDD and TDD
12,Yield,North America,High CDD/TDD,2039,Monoculture,kg/ha,511,NA,2.5%,195,97.5%,827,11,Yield benefit from increasing species diversity to 2.04 compensating yield reduction
13,Yield,North America,"High T, long CDD",2039,Maize monoculture,kg/ha,-359,NA,2.5%,-662,97.5%,-56,11,Predicted yield reduction in maize monoculture
14,Yield,North America,"High T, long CDD",2039,Species div 1.65,kg/ha,1000,NA,2.5%,691,97.5%,1308,11,Surplus yield at maximum species diversity (4.57)
15,Yield,North America,"High T, long CDD",2039,Monoculture,kg/ha,-522,NA,2.5%,-874,97.5%,-170,11,Yield loss buffered by species diversity of 2.06
16,Yield,North America,High T,2039,"Monoculture, no CC",kg/ha,-486,NA,2.5%,-990,97.5%,18,11,Maize yield reduction under a monoculture
