,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Housing,Maintenance and Restoration,Russia,RCP 8.5,Economic Losses,AdaptationCost,Economic,Need,₽ bln / yr,30,NA,NA,NA,NA,NA,Abstract,Conservative scenario of housing sector development.
1,Housing,Maintenance and Restoration,Russia,RCP 8.5,Economic Losses,AdaptationCost,Economic,Need,₽ bln / yr,36,NA,NA,NA,NA,NA,Abstract,Modernization scenario of housing sector development.
2,Housing,Maintenance,Russia,RCP 8.5,AdaptationCost,AdaptationCost,Economic,Need,thou. rubles,38785,NA,NA,NA,NA,NA,Table 1,Average cost of constructing 1 m2 of housing
3,Housing,Maintenance,Russia,RCP 8.5,AdaptationCost,AdaptationCost,Economic,Need,thou. rubles,65695,NA,NA,NA,NA,NA,Table 1,"Average cost of constructing 1 m2 of housing, Nenets AO"
4,Housing,Maintenance,Russia,RCP 8.5,AdaptationCost,AdaptationCost,Economic,Need,thou. rubles,53016,NA,NA,NA,NA,NA,Table 1,"Average cost of constructing 1 m2 of housing, Khanty–Mansi AO"
5,Housing,Maintenance,Russia,RCP 8.5,AdaptationCost,AdaptationCost,Economic,Need,thou. rubles,65859,NA,NA,NA,NA,NA,Table 1,"Average cost of constructing 1 m2 of housing, Yamalo-Nenets AO"
6,Housing,Maintenance,Russia,RCP 8.5,AdaptationCost,AdaptationCost,Economic,Need,thou. rubles,45603,NA,NA,NA,NA,NA,Table 1,"Average cost of constructing 1 m2 of housing, Krasnoyarsk krai"
7,Housing,Maintenance,Russia,RCP 8.5,AdaptationCost,AdaptationCost,Economic,Need,thou. rubles,61490,NA,NA,NA,NA,NA,Table 1,"Average cost of constructing 1 m2 of housing, Republic of Sakha (Yakutia)"
8,Housing,Maintenance,Russia,RCP 8.5,AdaptationCost,AdaptationCost,Economic,Need,thou. rubles,72061,NA,NA,NA,NA,NA,Table 1,"Average cost of constructing 1 m2 of housing, Magadan oblast"
9,Housing,Maintenance,Russia,RCP 8.5,AdaptationCost,AdaptationCost,Economic,Need,thou. rubles,113911,NA,NA,NA,NA,NA,Table 1,"Average cost of constructing 1 m2 of housing, Chukotka AO"
10,Housing,Maintenance,Russia,RCP 8.5,AdaptationCost,AdaptationCost,Economic,Need,thou. rubles,68009,NA,NA,NA,NA,NA,Table 1,"Average cost of constructing 1 m2 of housing, Total by region"
11,Housing,Maintenance,Russia,RCP 8.5,AdaptationCost,AdaptationCost,Economic,Need,thou. rubles,41358,NA,NA,NA,NA,NA,Table 1,"Average cost of constructing 1 m2 of housing, Ru s s i a n Fe d er a ti o n"
12,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,100.00,NA,NA,NA,NA,NA,Table 2,Komi Republic Conservative Scenario
13,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,107.03,NA,NA,NA,NA,NA,Table 2,Komi Republic Modernization Scenario
14,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,159.28,NA,NA,NA,NA,NA,Table 2,Nenets AO Conservative Scenario
15,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,210.82,NA,NA,NA,NA,NA,Table 2,Nenets AO Modernization Scenario
16,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,119.96,NA,NA,NA,NA,NA,Table 2,Khanty-Mansi AO Conservative Scenario
17,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,133.31,NA,NA,NA,NA,NA,Table 2,Khanty-Mansi AO Modernization Scenario
18,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,138.96,NA,NA,NA,NA,NA,Table 2,Yamalo-Nenets AO Conservative Scenario
19,Housing,Any,Russia,RCP 8.5,Housing Stock Growth,NonMonetaryBenefits,N/A,Need,Percentage,174.86,NA,NA,NA,NA,NA,Table 2,Yamalo-Nenets AO Modernization Scenario
