,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Economic cost of warming,Global,Unspecified,2050,No CC,USD Trillion per year,-2,NA,NA,NA,NA,NA,Highlights,Projected cost of 1°C warming.
1,Economic cost,Global,Unspecified,2050,No CC,Trillion dollars per year,-2,NA,NA,NA,NA,NA,6964,Cost of 1°C increase in global warming.
2,Economic cost,EU,Unspecified,2016,No CC,Trillion Euros,-74,NA,NA,NA,NA,NA,6964,"Cumulative global cost. The EU study likely covers the whole world, not just the EU."
3,CO2 increase,Global,Unspecified,2016,Baseline,ppm per year,1.5,NA,NA,NA,NA,NA,6964,Rate of increase of CO2 concentration in the atmosphere.
4,GHG Release,Global,Unspecified,2014,Baseline,Percentage,21,NA,NA,NA,NA,NA,6964,Industry.
5,GHG Release,Global,Unspecified,2014,Baseline,Percentage,14,NA,NA,NA,NA,NA,6964,Transportation.
6,GHG Release,Global,Unspecified,2014,Baseline,Percentage,6,NA,NA,NA,NA,NA,6964,Buildings.
7,GHG Release,Global,Unspecified,2014,Baseline,Percentage,24,NA,NA,NA,NA,NA,6964,"Agriculture, Forestry, and Other Land Use."
8,GHG Release,Global,Unspecified,2014,Baseline,Percentage,25,NA,NA,NA,NA,NA,6964,Electricity and Heat Production.
9,GHG Release,Global,Unspecified,2014,Baseline,Percentage,10,NA,NA,NA,NA,NA,6964,Other Energy.
10,CO2,Eurasia,Unspecified,2016,Unspecified,units of CO2,0.53,NA,NA,NA,NA,NA,9,Impact of 1 unit increase in share of agricultural fields within total area
11,CO2,Turkey,Unspecified,2016,Unspecified,units of CO2,-1.83,NA,NA,NA,NA,NA,9,Impact of 1 unit increase in share of agricultural fields within total area
12,CO2,Eurasia,Unspecified,2016,Unspecified,units of CO2,0.15,NA,NA,NA,NA,NA,9,Impact of 1 unit increase in agricultural added value
13,CO2,Turkey,Unspecified,2016,Unspecified,units of CO2,0.07,NA,NA,NA,NA,NA,9,Impact of 1 unit increase in agricultural added value
14,CO2,Eurasia,Unspecified,2016,Unspecified,units of CO2,0.06,NA,NA,NA,NA,NA,9,Impact of 1 unit increase in GDP per capita
15,CO2,Turkey,Unspecified,2016,Unspecified,units of CO2,-0.04,NA,NA,NA,NA,NA,9,Impact of 1 unit increase in GDP per capita
16,CO2,Eurasia,Unspecified,2016,Unspecified,units of CO2,1.34,NA,NA,NA,NA,NA,9,Impact of 1 unit increase in population
17,CO2,Turkey,Unspecified,2016,Unspecified,units of CO2,1.98,NA,NA,NA,NA,NA,9,Impact of 1 unit increase in population
18,CO2 Level,Eurasia,NA,2016,Observed value," ""Percentage difference""",-0.0141,NA,NA,NA,NA,NA,p. 11,"The 0.014% difference between the observed value and realized value of the CO2 level would disappear within a period. In other words, the relevant imbalance can only disappear after 71 years if the conditions are maintained this way. This is based on the ECT value reported in Table 5. 2016 is the final year of the study."
19,CO2 Level,Turkey,NA,2016,Observed value,Percentage difference,-1.325,NA,NA,NA,NA,NA,p. 11,"The 1.325% difference between the observed value and the realized value of the CO2 level will disappear after a period. In other words, the CO2 level will be balanced every 9 months if the conditions in Turkey are maintained this way. This is based on the ECT value reported in Table 5. 2016 is the final year of the study."
