,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,National GDP,Pakistan,Time series 1970/71-2018,2018,No CC,%,10,NA,NA,NA,NA,NA,"Abstract, Highlights",Cotton productivity accounts for 10% of national GDP.
1,National GDP,Pakistan,Time series analysis,2016,No CC,%,10,NA,NA,NA,NA,NA,2,Cotton-related products contribute 10% to the national GDP
2,Cotton productivity,Pakistan,Time series analysis,2019,No CC,%,-10,NA,NA,NA,NA,NA,2,Cotton industry of Pakistan is losing around 10-15%
3,Cotton productivity,Pakistan,Time series analysis,2019,No CC,%,-15,NA,NA,NA,NA,NA,2,Cotton industry of Pakistan is losing around 10-15%
4,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,0.037,NA,NA,NA,NA,NA,Page 5,1% increase in temperature leads to 0.037% increase in cotton productivity in the long run.
5,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,0.08,NA,NA,NA,NA,NA,Page 5,1% increase in temperature leads to 0.08% increase in cotton productivity in the short run.
6,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,0.29,NA,NA,NA,NA,NA,Page 5,1% increase in rainfall leads to 0.29% increase in cotton productivity in the long run.
7,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,0.33,NA,NA,NA,NA,NA,Page 5,1% increase in rainfall leads to 0.33% increase in cotton productivity in the short run.
8,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,0.39,NA,NA,NA,NA,NA,Page 5,1% increase in area would increase cotton productivity by 0.39% in the long run.
9,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,0.003,NA,NA,NA,NA,NA,Page 5,1% increase in area would increase cotton productivity by 0.003% in the short run.
10,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,-0.065,NA,NA,NA,NA,NA,Page 5,1% increase in labor would decrease .065% agriculture productivity in the long run.
11,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,-0.0067,NA,NA,NA,NA,NA,Page 5,1% increase in labor would decrease .0067% agriculture productivity in the short run.
12,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,0.48,NA,NA,NA,NA,NA,Page 5,"If infrastructure increases by 1%, then cotton productivity will increase 0.48%."
13,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,-0.59,NA,NA,NA,NA,NA,Page 5,1% increase in CO2 emission would decrease cotton productivity -0.59% in the long run.
14,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,-0.25,NA,NA,NA,NA,NA,Page 5,1% increase in CO2 emission would decrease cotton productivity -0.25% in the short run.
15,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,0.11,NA,NA,NA,NA,NA,Page 5,1 % increase in seed consumption can enhance cotton productivity by 0.11% in the long run.
16,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,0.008,NA,NA,NA,NA,NA,Page 5,1 % increase in seed consumption can enhance cotton productivity by 0.008% in the short run.
17,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,0.45,NA,NA,NA,NA,NA,Page 5,1% Increase in fertilizer and infrastructure can enhance cotton productivity by 0.45% in the long run
18,Cotton productivity,Pakistan,1970/71-2018,2018,No CC,%,0.27,NA,NA,NA,NA,NA,Page 5,1% Increase in fertilizer and infrastructure can enhance cotton productivity by 0.27% in the short run
19,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.39082,0.26560,NA,NA,NA,NA,"Table 5, p.6",Long run effect of area on productivity. Significant at 10% level.
20,Productivity,Pakistan,Time Series,2018,No CC,coefficient,-0.65455,0.35014,NA,NA,NA,NA,"Table 5, p.6",Long run effect of labor on productivity. Significant at 5% level. Negative effect.
21,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.03777,0.33653,NA,NA,NA,NA,"Table 5, p.6",Long run effect of average temperature on productivity. Significant at 10% level.
22,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.48566,0.19540,NA,NA,NA,NA,"Table 5, p.6",Long run effect of infrastructure on productivity. Significant at 10% level.
23,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.45432,0.06993,NA,NA,NA,NA,"Table 5, p.6",Long run effect of fertilizer on productivity. Significant at 10% level.
24,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.29083,0.56494,NA,NA,NA,NA,"Table 5, p.6",Long run effect of average rainfall on productivity. Significant at 10% level.
25,Productivity,Pakistan,Time Series,2018,No CC,coefficient,-0.59310,0.21480,NA,NA,NA,NA,"Table 5, p.6",Long run effect of CO2 on productivity. Significant at 10% level. Negative effect.
26,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.11120,0.41952,NA,NA,NA,NA,"Table 5, p.6",Long run effect of seed on productivity. Not significant.
27,Productivity,Pakistan,Time Series,2018,No CC,coefficient,-0.19484,0.49324,NA,NA,NA,NA,"Table 5, p.6","Short run effect of productivity on itself. Significant at 1% level. Negative effect, likely an error correction term."
28,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.00356,1.06773,NA,NA,NA,NA,"Table 5, p.6",Short run effect of area on productivity. Significant at 5% level.
29,Productivity,Pakistan,Time Series,2018,No CC,coefficient,-0.00677,0.31853,NA,NA,NA,NA,"Table 5, p.6",Short run effect of labor on productivity. Significant at 5% level. Negative effect.
30,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.08433,0.33532,NA,NA,NA,NA,"Table 5, p.6",Short run effect of average temperature on productivity. Significant at 5% level.
31,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.00311,0.18112,NA,NA,NA,NA,"Table 5, p.6",Short run effect of infrastructure on productivity. Significant at 10% level.
32,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.27143,0.49286,NA,NA,NA,NA,"Table 5, p.6",Short run effect of fertilizer on productivity. Significant at 10% level.
33,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.33679,0.57061,NA,NA,NA,NA,"Table 5, p.6",Short run effect of rainfall on productivity. Significant at 10% level.
34,Productivity,Pakistan,Time Series,2018,No CC,coefficient,-0.25810,0.21640,NA,NA,NA,NA,"Table 5, p.6",Short run effect of CO2 on productivity. Not significant.
35,Productivity,Pakistan,Time Series,2018,No CC,coefficient,0.00820,0.26357,NA,NA,NA,NA,"Table 5, p.6",Short run effect of seed on productivity. Significant at 1% level.
