,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.658,0.049,NA,NA,NA,NA,14,Coefficient of GDP per capita (Lngdp) from GMM_Robust estimation. Statistically significant and positive.
1,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.817,0.0264,NA,NA,NA,NA,14,Coefficient of GDP per capita (Lngdp) from Fixed Effects estimation. Statistically significant and positive.
2,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.817,0.0644,NA,NA,NA,NA,14,Coefficient of GDP per capita (Lngdp) from Fixed_Robust Effects estimation. Statistically significant and positive.
3,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.852,0.0242,NA,NA,NA,NA,14,Coefficient of GDP per capita (Lngdp) from Random Effects estimation. Statistically significant and positive.
4,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.852,0.0551,NA,NA,NA,NA,14,Coefficient of GDP per capita (Lngdp) from Random_Robust Effects estimation. Statistically significant and positive.
5,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.121,6.57,NA,NA,NA,NA,14,Coefficient of GDP per capita (Lngdp) from System GMM estimation. Statistically significant and positive.
6,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.00678,3.73,NA,NA,NA,NA,14,Coefficient of gross fixed capital formation (gcf) from System GMM estimation. Statistically significant and positive.
7,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.0251,0.00795,NA,NA,NA,NA,14,Coefficient of agricultural labor ratio (ea) from GMM_Robust estimation. Statistically significant and positive.
8,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.0119,0.00347,NA,NA,NA,NA,14,Coefficient of agricultural labor ratio (ea) from Fixed Effects estimation. Statistically significant and positive.
9,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.0119,0.0105,NA,NA,NA,NA,14,Coefficient of agricultural labor ratio (ea) from Fixed_Robust Effects estimation. Statistically significant and positive.
10,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.0150,0.00331,NA,NA,NA,NA,14,Coefficient of agricultural labor ratio (ea) from Random Effects estimation. Statistically significant and positive.
11,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.0150,0.00814,NA,NA,NA,NA,14,Coefficient of agricultural labor ratio (ea) from Random_Robust Effects estimation. Statistically significant and positive.
12,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.00797,5.01,NA,NA,NA,NA,14,Coefficient of agricultural labor ratio (ea) from System GMM estimation. Statistically significant and positive.
13,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,0.00303,2.68,NA,NA,NA,NA,14,Coefficient of urbanization rate (up) from System GMM estimation. Statistically significant and positive.
14,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,-0.282,0.0765,NA,NA,NA,NA,14,Coefficient of rule of law (rl) from GMM_Robust estimation. Statistically significant and negative.
15,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,-0.431,0.0596,NA,NA,NA,NA,14,Coefficient of rule of law (rl) from Fixed Effects estimation. Statistically significant and negative.
16,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,-0.431,0.121,NA,NA,NA,NA,14,Coefficient of rule of law (rl) from Fixed_Robust Effects estimation. Statistically significant and negative.
17,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,-0.409,0.0541,NA,NA,NA,NA,14,Coefficient of rule of law (rl) from Random Effects estimation. Statistically significant and negative.
18,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,-0.409,0.0972,NA,NA,NA,NA,14,Coefficient of rule of law (rl) from Random_Robust Effects estimation. Statistically significant and negative.
19,Agricultural value added,E7 countries,NA,2018,No CC,Logarithm,-0.0406,2.54,NA,NA,NA,NA,14,Coefficient of rule of law (rl) from System GMM estimation. Statistically significant and negative.
