,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Mortality,Switzerland,2015,2015,No CC,%,5.4,NA,NA,NA,NA,NA,p. 2,Increase in mortality during the second warmest summer on record in Switzerland.
1,Labour productivity,Switzerland,NA,2022,No CC,NA,-1,NA,NA,NA,NA,NA,p. 2,Sustained losses in labour productivity can have important repercussions on the overall economy. Value is negative as it indicates a loss.
2,Mortality,Switzerland,RCP8.5,2020,No CC,deaths per year,658,NA,NA,NA,NA,NA,Page 2535,Baseline heat-related deaths
3,Mortality,Switzerland,RCP2.6,2050,No CC,deaths per year,695,NA,NA,NA,NA,NA,Page 2535,Peak deaths under RCP2.6
4,Mortality,Switzerland,RCP4.5,2050,No CC,deaths per year,814,NA,NA,NA,NA,NA,Page 2535,Deaths under RCP4.5
5,Mortality,Switzerland,RCP4.5,2080,No CC,deaths per year,854,NA,NA,NA,NA,NA,Page 2535,Deaths under RCP4.5
6,Mortality,Switzerland,RCP8.5,2050,No CC,deaths per year,934,NA,5%,241,95%,1883,Page 2535,"Deaths under RCP8.5, with uncertainty range"
7,Mortality,Switzerland,RCP8.5,2080,No CC,deaths per year,1500,NA,NA,NA,NA,NA,Page 2535,"Deaths under RCP8.5, minimum value"
8,Labour productivity,Switzerland,RCP8.5,2050,2020,CHF million/year,435,NA,NA,NA,NA,NA,Page 2536," ""Increase from 665 to 1100"""
9,Labour productivity,Switzerland,Baseline,2020,No CC,CHF million/year,665,NA,NA,NA,NA,NA,Page 2536,Also described as today's baseline
10,Labour productivity,Switzerland,RCP2.6,2050,2020,CHF million/year,53.2,NA,NA,NA,NA,NA,Page 2536,Increase of 8 percent
11,Labour productivity,Switzerland,RCP8.5,2050,No CC,CHF million/year,1100,NA,NA,NA,95%,4000,Page 2536,
12,Labour productivity,Switzerland,RCP8.5,2050,No CC,% of exposed salary,-0.24,NA,NA,NA,NA,NA,Page 2536,
13,Labour productivity,Switzerland,RCP8.5,2050,No CC,% of exposed salary,-0.21,NA,NA,NA,NA,NA,Page 2536,low physical activity
14,Labour productivity,Switzerland,RCP8.5,2050,No CC,% of exposed salary,-0.54,NA,NA,NA,NA,NA,Page 2536,high physical activity

