,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,Sea-level rise,Antarctica,SSP1-2.6,2100,No CC,cm,6,NA,NA,-8,NA,15,1,Antarctic contribution to global mean sea-level rise.,"
""""""Source Material:
""Antarctic contribution to global mean sea-level rise by 2100 of 6 (-8 to 15)cm under a low-emission scenario and 5.5 (-10 to 16)cm under a very high-emission scenario...a complete collapse of the West Antarctic ice sheet along with significant grounding-line retreat in the marine basins of the East Antarctic ice sheet, leading to a median global mean sea-level rise of 2.75 (6.95)m by 2300 (3000)...mass loss is likely to remain confined to the Amundsen Sea Embayment, where present-day climate conditions seem sufficient to commit to a continuous retreat of Thwaites Glacier.""; Page 1: ""Observationally-calibrated ice-sheet model, forced by a panel of CMIP6 climate models. Analysis extends to 2300 and 3000 for sea-level rise projections."""""",""""""
"
1,Sea-level rise,Antarctica,SSP5-8.5,2100,No CC,cm,5.5,NA,NA,-10,NA,16,1,Antarctic contribution to global mean sea-level rise.,"
""""""Source Material:
""Antarctic contribution to global mean sea-level rise by 2100 of 6 (-8 to 15)cm under a low-emission scenario and 5.5 (-10 to 16)cm under a very high-emission scenario...a complete collapse of the West Antarctic ice sheet along with significant grounding-line retreat in the marine basins of the East Antarctic ice sheet, leading to a median global mean sea-level rise of 2.75 (6.95)m by 2300 (3000)...mass loss is likely to remain confined to the Amundsen Sea Embayment, where present-day climate conditions seem sufficient to commit to a continuous retreat of Thwaites Glacier.""; Page 1: ""Observationally-calibrated ice-sheet model, forced by a panel of CMIP6 climate models. Analysis extends to 2300 and 3000 for sea-level rise projections."""""",""""""
"
2,Sea-level rise,Antarctica,SSP5-8.5,2300,No CC,m,2.75,NA,NA,NA,NA,6.95,1,Median global mean sea-level rise.,"
""""""Source Material:
""Antarctic contribution to global mean sea-level rise by 2100 of 6 (-8 to 15)cm under a low-emission scenario and 5.5 (-10 to 16)cm under a very high-emission scenario...a complete collapse of the West Antarctic ice sheet along with significant grounding-line retreat in the marine basins of the East Antarctic ice sheet, leading to a median global mean sea-level rise of 2.75 (6.95)m by 2300 (3000)...mass loss is likely to remain confined to the Amundsen Sea Embayment, where present-day climate conditions seem sufficient to commit to a continuous retreat of Thwaites Glacier.""; Page 1: ""Observationally-calibrated ice-sheet model, forced by a panel of CMIP6 climate models. Analysis extends to 2300 and 3000 for sea-level rise projections."""""",""""""
"
3,Sea-level rise,Antarctica,SSP1-2.6,2300,No CC,m,0.62,NA,NA,NA,NA,1.85,1,Median global mean sea-level rise.,"
""""""Source Material:
""Antarctic contribution to global mean sea-level rise by 2100 of 6 (-8 to 15)cm under a low-emission scenario and 5.5 (-10 to 16)cm under a very high-emission scenario...a complete collapse of the West Antarctic ice sheet along with significant grounding-line retreat in the marine basins of the East Antarctic ice sheet, leading to a median global mean sea-level rise of 2.75 (6.95)m by 2300 (3000)...mass loss is likely to remain confined to the Amundsen Sea Embayment, where present-day climate conditions seem sufficient to commit to a continuous retreat of Thwaites Glacier.""; Page 1: ""Observationally-calibrated ice-sheet model, forced by a panel of CMIP6 climate models. Analysis extends to 2300 and 3000 for sea-level rise projections."""""",""""""
"
4,Sea-level rise,Antarctica,SSP1-2.6,2100,No CC,cm,6,NA,5%,-8,95%,15,1,Antarctic contribution to global mean sea-level rise,"
"
5,Sea-level rise,Antarctica,SSP5-8.5,2100,No CC,cm,5.5,NA,5%,-10,95%,16,1,Antarctic contribution to global mean sea-level rise,"
"
6,Sea-level rise,Antarctica,SSP5-8.5,2300,No CC,m,2.75,NA,NA,NA,NA,NA,"1, 25",median global mean sea-level rise; the 6.95m value is for year 3000,"
"
7,Sea-level rise,Antarctica,SSP5-8.5,3000,No CC,m,6.95,NA,NA,NA,NA,NA,"1, 25",median global mean sea-level rise,"
"
8,Sea-level rise,Antarctica,Present Day Climate,2300,No CC,m,0.62,NA,NA,NA,NA,NA,1,median global mean sea-level rise; the 1.85m value is for year 3000,"
"
9,Sea-level rise,Antarctica,Present Day Climate,3000,No CC,m,1.85,NA,NA,NA,NA,NA,1,median global mean sea-level rise,"
"
10,Mass Balance,West Antarctic ice sheet,Historical,1992,No CC,Gtyr-1,-37,19,NA,NA,NA,NA,8,IMBIE observational constraint,"Table 2. Observational constraints of Antarctic regional mass balance from the Ice Sheet Mass Balance Inter-comparison Exercise (IMBIE; Otosaka et al., 2023) used for the Bayesian calibration of the ensemble. Region Time Period Value Uncertainty Unit West Antarctic ice sheet 1992-1996 -37 19 Gtyr − 1 1997-2001 -42 19 Gtyr − 1 2002-2006 -64 20 Gtyr − 1 2007-2011 -129 23 Gtyr − 1 East Antarctic ice sheet 1992-1996 -27 33 Gtyr − 1 1997-2001 21 32 Gtyr − 1 2002-2006 21 34 Gtyr − 1 2007-2011 19 36 Gtyr − 1 Antarctic Peninsula 1992-1996 -7 11 Gtyr − 1 1997-2001 2 11 Gtyr − 1 2002-2006 -20 11 Gtyr − 1 2007-2011 -21 12 Gtyr − 1"
