,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Fisheries,Sustainable Fishing,UAE,Resource +15%,CGE Model,MonetaryBenefits,Economic,Need,%,7.8,NA,NA,NA,NA,NA,Page 7,"Increase in fish catch from baseline of 72,700 tons in 2012 to 78,4000 tons. Increase due to 15% increase in the natural resource endowment."
1,Fisheries,Capital Investment,UAE,"Resource +30%, Cap +15%",CGE Model,MonetaryBenefits,Economic,Need,%,15.1,NA,NA,NA,NA,NA,Page 7,"Increase in fish catch from baseline of 72,700 tons in 2012 to 83,700 thousand tons. Increase due to combined increases in natural resource endowment, capital, and labor."
2,Fisheries,Sustainable Practices,UAE,Scenarios 1 and 2,Price Changes,MonetaryBenefits,Economic,Need,% of price change,-7.7,NA,NA,NA,NA,-13.68,Page 8,Fish prices decline due to increased supply from sustainable practices.
3,Fisheries,Sustainable Practices,UAE,Scenarios 1 and 2,Price Changes,MonetaryBenefits,Economic,Need,% of price change,-0.100,NA,NA,NA,NA,-0.157,Page 8,Decline in natural resources endowment increases supply efficiency.
4,Food processing,Sustainable Practices,UAE,Scenarios 1 and 2,Production Impact,MonetaryBenefits,Economic,Need,% change in output,0.1,NA,NA,NA,NA,NA,Page 8,Increased fish production due to sustainable practices enhances related food production sectors.
5,Red Meat,Sustainable Practices,UAE,Scenarios 1 and 2,Price Changes,MonetaryBenefits,Economic,Need,% of price change,-0.02,NA,NA,NA,NA,-0.04,Page 8,"Reduced prices of fish spill over to substitute markets like red meat, benefiting consumers."
6,Fisheries,Sustainable Practices,UAE,Scenario 1,CGE Model,MonetaryBenefits,Economic,N/A,%,13.48,NA,NA,NA,NA,NA,p. 9,Increase in fish exports
7,Fisheries,Sustainable Practices,UAE,Scenario 2,CGE Model,MonetaryBenefits,Economic,N/A,%,25.77,NA,NA,NA,NA,NA,p. 9,Increase in fish exports
8,Fisheries,Sustainable Practices,UAE,Scenario 1,CGE Model,AvoidedImpact,Economic,N/A,%,6.64,NA,NA,NA,NA,NA,p. 9,Decline in fishery imports
9,Fisheries,Sustainable Practices,UAE,Scenario 2,CGE Model,AvoidedImpact,Economic,N/A,%,11.75,NA,NA,NA,NA,NA,p. 9,Decline in fishery imports
10,Household Demand,Sustainable Practices,UAE,Scenario 1,CGE Model,NonMonetaryBenefits,Economic,N/A,%,5.62,NA,NA,NA,NA,NA,p. 9,Increase in quantity of commodity fish demanded
11,Household Demand,Sustainable Practices,UAE,Scenario 2,CGE Model,NonMonetaryBenefits,Economic,N/A,%,10.57,NA,NA,NA,NA,NA,p. 9,Increase in quantity of commodity fish demanded
12,Household Demand,Sustainable Practices,UAE,Scenario 1,CGE Model,NonMonetaryBenefits,Economic,N/A,%,9.12,NA,NA,NA,NA,NA,p. 9,Increase in household consumption of domestically-produced fish
13,Household Demand,Sustainable Practices,UAE,Scenario 2,CGE Model,NonMonetaryBenefits,Economic,N/A,%,17.31,NA,NA,NA,NA,NA,p. 9,Increase in household consumption of domestically-produced fish
