DOI,gemini,openai,common,priority,passfail
10.1016/j.ijhydene.2018.09.208,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.eneco.2013.03.015,XC XV,XC XV XN,XC XV,0,NA
10.1016/j.ijhydene.2022.04.261,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.intfin.2024.102061,RE RF,XC XN,RE RF,3,Failed
10.1016/S0025-3227(00)00071-2,XN XO,XC XV XN XA,XN,0,NA
10.1016/j.ecolmodel.2014.10.002,XV XN,XV XN,XN XV,0,NA
10.1093/epolic/eiy008,XC,XC XN,XC,0,NA
10.1021/acs.nanolett.2c00805,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/j.1748-7692.2011.00551.x,XC XN,XC XV XN,XN XC,0,NA
10.1177/0020715221993529,XC,XC XV XN,XC,0,NA
10.1016/j.dendro.2020.125763,XN,XC XV XN,XN,0,NA
10.1111/gcbb.13116,XV XN,XN,XN,0,NA
10.1016/j.ijhydene.2019.12.199,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1021/nl400325s,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11356-021-18088-9,RE,XC XV XN,RE,3,Failed
10.1007/s10695-019-00637-2,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/gcb.17298,XV XN,XV XN,XN XV,0,NA
10.1890/06-1254.1,XC,XC XV XN,XC,0,NA
10.1016/j.gloplacha.2010.01.026,XV XN,XC XV XN,XN XV,0,NA
10.3389/ffgc.2022.878570,XV XN,XV XN,XN XV,0,NA
10.1111/gcb.13239,XN,XN,XN,0,NA
10.1007/s10811-016-0971-8,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s00477-023-02619-6,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1093/icesjms/fsae077,XC XV XN,XC XN,XN XC,0,NA
10.1175/JHM-D-13-0106.1,XV XN XO,XN,XN,0,NA
10.3390/w14010008,XV XN,XV XN,XN XV,0,NA
10.1016/j.pdisas.2019.100057,XN,XV XN,XN,0,NA
10.1029/2023AV000911,XO,XC XV XN,Disagree,1,Failed
10.3390/ma15248761,XC,XC XN,XC,0,NA
10.4324/9780203119716-12,XO,XC XN,Disagree,1,Failed
10.1007/s10531-017-1320-1,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.marpol.2016.05.007,XO,XC XV XN,Disagree,1,Failed
10.4324/9781315768090-36,XO,XC XV XN,Disagree,1,Failed
10.1016/j.scs.2021.102936,XN,XN,XN,0,NA
10.1016/j.jaridenv.2008.02.021,XN,XC XN,XN,0,NA
10.1111/gcb.13061,XV XN,XV XN,XN XV,0,NA
10.1111/j.1600-0889.2004.00097.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11676-024-01770-2,XV XN,XC XN,XN,0,NA
10.1007/s40011-023-01451-w,XV XN,XC XV XN,XN XV,0,NA
10.1016/S2095-3119(19)62822-4,XN,XV XN,XN,0,NA
10.1155/2013/797312,Ambiguous,XC XV XN,Ambiguous,2,Failed
